NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
9,J. Bahay,,20:28,13,3-11,27.3,1-4,25,2-7,28.6,5-6,83.3,0,5,5,4,1,0,0,0,4,1
16,J. Lazaro,,23:48,11,5-12,41.7,5-12,41.7,0-0,0,1-3,33.3,6,5,11,3,0,0,1,2,5,-8
10,S. Tuano,,19:49,11,4-12,33.3,4-10,40,0-2,0,3-10,30,4,1,5,0,3,0,0,1,6,-12
19,W. Espina,,17:38,7,1-8,12.5,0-3,0,1-5,20,4-5,80,1,1,2,2,0,2,0,1,2,-8
14,A. Balogun,,06:12,4,1-1,100,1-1,100,0-0,0,2-5,40,1,0,1,0,1,0,2,5,3,-6
2,K. Gamber,,07:52,3,1-3,33.3,0-0,0,1-3,33.3,0-0,0,0,0,0,1,1,0,0,0,0,-3
21,F. Edu,,04:00,0,0-0,0,0-0,0,0-0,0,0-2,0,0,1,1,0,0,1,0,3,1,5
22,K. Ong,,05:17,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,0,0,0,0,1,0,-3
,starters ,,,,,,,,,,,,,,,,,,,,,
7,I. Espinosa,,19:31,4,2-8,25,2-6,33.3,0-2,0,0-0,0,2,2,4,2,1,1,1,2,3,-17
6,C. Koon,,07:18,3,1-3,33.3,1-3,33.3,0-0,0,1-2,50,0,1,1,1,1,0,0,2,1,-2
25,K. Porter,,19:52,3,1-4,25,1-3,33.3,0-1,0,1-4,25,3,3,6,0,1,1,0,3,2,-9
3,A. Bongo,,20:53,2,0-4,0,0-2,0,0-2,0,2-3,66.7,0,3,3,1,0,1,0,3,2,-12
24,S. Quitevis,,27:16,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,5,0,1,0,3,0,-6
,,,,,,,,,,,,,,,,,,,,,,
12,J. Cagulangan,,30:05,17,8-14,57.1,7-11,63.6,1-3,33.3,0-1,0,2,5,7,10,3,2,0,2,5,19
42,Q. Millora-Brown,,24:49,7,3-6,50,3-6,50,0-0,0,1-4,25,5,12,17,2,2,0,2,4,7,17
8,J. Bayla,,20:48,7,2-5,40,1-2,50,1-3,33.3,2-2,100,1,2,3,2,3,0,0,3,2,13
19,G. Abadiano,,15:10,5,2-6,33.3,1-3,33.3,1-3,33.3,0-0,0,0,0,0,0,1,0,0,0,0,8
13,M. Belmonte,,09:10,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,1,1,1,2,0,0,3,1,11
,bench ,,,,,,,,,,,,,,,,,,,,,
17,F. Lopez,,20:45,14,3-3,100,3-3,100,0-0,0,8-13,61.5,1,5,6,3,1,0,2,3,7,5
10,T. Fortea,,13:26,8,3-5,60,1-2,50,2-3,66.7,0-0,0,0,0,0,0,0,0,0,1,0,5
88,D. Ududo,,09:47,7,3-4,75,3-4,75,0-0,0,1-2,50,1,2,3,0,2,0,0,2,2,-5
18,H. Alarcon,,19:15,6,2-8,25,2-7,28.6,0-1,0,2-2,100,0,3,3,3,1,0,1,3,1,4
2,R. Torres,,11:54,2,1-2,50,1-1,100,0-1,0,0-0,0,1,1,2,1,0,0,0,3,0,-2
11,C. Briones,,04:10,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,1,0,0,0,1,0,3
55,G. Stevens,,09:23,0,0-0,0,0-0,0,0-0,0,0-0,0,0,3,3,0,0,0,1,3,1,3
33,S. Alter,,01:19,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,2
20,J. Felicilda,,09:54,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,0,1,0,0,2,0,-3
