NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
35,P. Momowei,,34:06,12,4-10,40,4-10,40,0-0,0,4-7,57.1,1,9,10,4,5,1,0,4,7,-11
12,D. Fikes,,24:41,9,3-7,42.9,3-4,75,0-3,0,3-4,75,2,4,6,1,4,1,0,4,4,-7
29,G. Wilson,,11:25,9,3-5,60,3-5,60,0-0,0,3-3,100,0,0,0,1,1,0,0,1,2,4
7,W. Lingolingo,,22:12,4,1-10,10,1-6,16.7,0-4,0,2-2,100,3,1,4,0,0,0,0,0,2,-14
2,J. Cruz-Dumont,,14:42,2,0-4,0,0-2,0,0-2,0,2-2,100,1,2,3,1,0,0,0,2,3,-19
,bench ,,,,,,,,,,,,,,,,,,,,,
0,E. Galang,,27:07,11,3-8,37.5,0-2,0,3-6,50,2-2,100,0,2,2,2,1,1,0,1,1,-14
11,J. Abate,,16:00,2,1-4,25,1-4,25,0-0,0,0-0,0,1,1,2,2,0,0,0,1,0,4
23,R. Maga,,11:21,2,1-4,25,1-3,33.3,0-1,0,0-0,0,1,2,3,0,1,1,0,0,0,-6
1,N. Mulingtapang,,12:12,2,0-3,0,0-2,0,0-1,0,2-4,50,0,1,1,0,0,0,0,0,4,-12
15,R. Malaga III,,00:51,2,0-0,0,0-0,0,0-0,0,2-2,100,0,0,0,0,0,0,0,0,1,2
10,H. Cruz-Dumont,,12:26,0,0-0,0,0-0,0,0-0,0,0-0,0,1,2,3,1,2,0,0,2,0,-4
13,R. Go,,05:43,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,-6
22,K. Spandonis,,05:12,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,1
8,D. Robles,,01:58,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,7
,,,,,,,,,,,,,,,,,,,,,,
9,N. Cabanero,,23:39,14,4-14,28.6,2-6,33.3,2-8,25,4-7,57.1,1,2,3,2,1,0,1,2,5,12
36,M. Tounkara,,30:37,13,6-9,66.7,6-8,75,0-1,0,1-1,100,1,3,4,1,1,2,0,4,4,13
11,F. Padrigao,,22:12,5,2-10,20,1-5,20,1-5,20,0-2,0,0,6,6,7,3,0,0,0,3,0
10,G. Crisostomo,,19:30,4,2-5,40,2-3,66.7,0-2,0,0-0,0,2,7,9,1,2,0,0,4,2,4
5,C. Lane,,09:09,2,1-1,100,1-1,100,0-0,0,0-0,0,1,0,1,2,1,0,0,0,0,5
,bench ,,,,,,,,,,,,,,,,,,,,,
4,C. Manaytay,,14:58,10,5-5,100,5-5,100,0-0,0,0-0,0,2,1,3,1,0,1,0,5,0,15
14,M. Llemit,,20:51,9,3-5,60,1-1,100,2-4,50,1-1,100,0,4,4,2,2,1,0,3,2,21
17,M. Pangilinan,,13:11,5,1-4,25,0-0,0,1-4,25,2-2,100,0,3,3,1,2,0,0,0,1,2
3,K. Paranada,,13:02,4,1-4,25,0-0,0,1-4,25,1-1,100,1,2,3,5,0,1,0,2,0,7
23,G. Robinson,,14:40,2,1-2,50,1-1,100,0-1,0,0-0,0,3,1,4,2,1,1,0,2,0,1
20,A. Acido,,09:12,2,1-4,25,1-2,50,0-2,0,0-0,0,1,2,3,0,1,0,0,1,0,6
29,E. Laure,,00:51,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,-2
21,Z. Mahmood,,00:51,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
1,L. Estacio,,07:10,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-7
