NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
13,R. Mantua,,16:56,14,4-6,66.7,1-1,100,3-5,60,3-4,75,1,3,4,2,0,2,1,0,2,15
3,M. Montebon,,21:13,11,3-10,30,2-5,40,1-5,20,4-4,100,2,3,5,2,4,1,0,2,3,8
18,M. Erolon,,11:31,10,4-9,44.4,3-6,50,1-3,33.3,1-2,50,0,1,1,2,0,0,0,1,2,11
27,A. Fransman,,21:47,4,1-5,20,1-2,50,0-3,0,2-2,100,2,7,9,1,0,1,1,1,1,4
9,M. Barasi Jr,,07:51,1,0-3,0,0-3,0,0-0,0,1-2,50,0,1,1,0,1,0,0,2,1,0
20,M. Anabo,,10:56,0,0-2,0,0-0,0,0-2,0,0-0,0,0,1,1,3,0,0,0,0,0,-2
5,C. Alexander,,10:07,0,0-2,0,0-0,0,0-2,0,0-0,0,1,1,2,0,2,0,0,0,0,2
11,J. Barcelona,,02:58,0,0-1,0,0-0,0,0-1,0,0-0,0,1,0,1,0,1,0,0,1,1,0
8,A. Ignacio,,00:21,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
12,F. Dignadice,,00:21,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
32,A. Ronzone,,02:36,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
,starters ,,,,,,,,,,,,,,,,,,,,,
23,M. Ojarikre,,23:49,6,3-4,75,3-4,75,0-0,0,0-0,0,4,5,9,0,1,0,4,1,2,11
6,J. Yerro,,18:37,6,2-7,28.6,0-2,0,2-5,40,0-0,0,1,1,2,0,4,0,0,3,0,5
10,C. Manzano,,21:41,4,2-4,50,2-4,50,0-0,0,0-0,0,2,8,10,3,3,2,3,3,1,17
1,E. Ramos,,11:29,3,0-4,0,0-3,0,0-1,0,3-4,75,2,2,4,0,0,0,0,2,5,-10
22,J. Calisay,,17:40,0,0-7,0,0-4,0,0-3,0,0-0,0,1,6,7,2,0,2,0,0,1,5
,,,,,,,,,,,,,,,,,,,,,,
3,J. Bautista,,28:28,14,6-15,40,6-10,60,0-5,0,2-2,100,2,5,7,2,1,1,0,1,4,-2
51,V. Pre,,31:07,8,3-11,27.3,3-6,50,0-5,0,2-2,100,2,3,5,0,2,1,0,0,2,-16
8,C. Anonuevo,,29:10,5,2-9,22.2,2-4,50,0-5,0,1-3,33.3,5,5,10,1,2,3,1,2,4,-18
13,J. Pasaol,,22:15,5,2-9,22.2,2-9,22.2,0-0,0,1-1,100,0,1,1,1,2,0,0,4,3,-15
35,M. Konateh,,23:55,2,1-8,12.5,1-8,12.5,0-0,0,0-0,0,5,6,11,1,2,1,0,5,0,-4
,bench ,,,,,,,,,,,,,,,,,,,,,
18,R. Alforque,,24:02,4,2-7,28.6,2-6,33.3,0-1,0,0-0,0,1,3,4,6,2,0,0,2,0,-6
5,J. Daa,,19:56,4,2-8,25,2-6,33.3,0-2,0,0-1,0,1,1,2,3,1,0,0,3,2,-2
21,A. Nakai,,05:32,3,1-2,50,0-0,0,1-2,50,0-0,0,0,0,0,0,0,0,0,1,0,-1
27,M. Ona,,06:11,2,1-2,50,1-2,50,0-0,0,0-0,0,0,2,2,0,0,0,0,1,0,2
15,A. Bagunu,,09:20,0,0-2,0,0-1,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,1,2
