NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
28,K. Quiambao,,32:02,22,9-22,40.9,6-14,42.9,3-8,37.5,1-1,100,3,5,8,7,5,0,0,0,4,6
32,E. Gollena,,21:14,10,4-5,80,3-3,100,1-2,50,1-2,50,2,0,2,0,3,1,0,1,2,5
11,L. Ramiro,,20:15,6,2-5,40,0-1,0,2-4,50,0-0,0,0,3,3,0,2,0,1,2,3,-6
1,J. Macalalag,,19:41,5,2-6,33.3,1-3,33.3,1-3,33.3,0-0,0,3,1,4,0,0,2,1,1,1,4
21,H. Agunanne,,16:02,2,1-9,11.1,1-7,14.3,0-2,0,0-0,0,3,4,7,1,1,0,2,0,3,-10
,bench ,,,,,,,,,,,,,,,,,,,,,
25,M. Phillips,,22:05,12,5-13,38.5,5-12,41.7,0-1,0,2-3,66.7,3,8,11,2,2,0,1,1,3,5
12,E. Abadam,,15:53,8,2-5,40,2-3,66.7,0-2,0,4-4,100,1,0,1,2,0,1,0,1,2,5
6,R. Gonzales,,14:12,6,3-3,100,3-3,100,0-0,0,0-0,0,3,2,5,1,2,2,1,1,0,1
5,V. David,,16:07,4,1-4,25,1-3,33.3,0-1,0,2-2,100,1,4,5,6,1,2,0,2,1,14
19,D. Dungo,,11:24,2,0-2,0,0-0,0,0-2,0,2-2,100,2,1,3,2,2,0,0,1,2,-8
2,V. Marasigan,,07:35,1,0-2,0,0-2,0,0-0,0,1-2,50,0,0,0,0,1,0,0,2,2,-1
47,A. Konov,,03:24,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
20,J. Figueroa,,30:20,15,7-15,46.7,6-9,66.7,1-6,16.7,0-0,0,2,3,5,4,2,0,0,3,2,-9
5,P. Palacielo,,29:36,15,7-12,58.3,7-11,63.6,0-1,0,1-2,50,5,7,12,2,3,3,0,3,2,0
7,P. Francisco,,10:30,6,3-7,42.9,3-5,60,0-2,0,0-0,0,2,2,4,0,0,0,0,2,0,9
13,S. Enriquez,,21:04,4,2-6,33.3,2-5,40,0-1,0,0-0,0,0,3,3,6,0,0,0,0,1,4
12,P. Yu,,14:44,2,0-4,0,0-0,0,0-4,0,2-2,100,1,1,2,1,1,0,0,1,1,1
25,E. Dela Cruz,,02:28,2,1-2,50,1-2,50,0-0,0,0-0,0,0,1,1,1,0,1,0,1,0,6
4,J. Garcia,,10:02,2,1-2,50,1-2,50,0-0,0,0-0,0,1,0,1,1,1,0,0,3,0,0
21,K. Perciano,,05:01,2,1-1,100,1-1,100,0-0,0,0-0,0,0,2,2,0,1,0,0,1,0,-8
16,G. Santiago,,04:53,2,0-2,0,0-2,0,0-0,0,2-2,100,0,1,1,0,0,1,0,0,1,2
,starters ,,,,,,,,,,,,,,,,,,,,,
10,I. Manansala,,27:35,10,4-11,36.4,4-9,44.4,0-2,0,2-2,100,1,3,4,0,2,2,0,1,1,-1
77,K. Padrones,,14:44,7,3-3,100,2-2,100,1-1,100,0-0,0,3,2,5,0,2,0,0,3,0,-5
44,R. Jumamoy,,15:09,6,2-11,18.2,2-7,28.6,0-4,0,2-2,100,1,1,2,2,3,0,0,2,4,-9
11,D. Lim,,09:45,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,1,1,0,0,1,0,2,0,-4
24,M. Diassana,,04:04,0,0-0,0,0-0,0,0-0,0,0-0,0,1,1,2,0,0,0,1,1,0,-1
