NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
36,M. Tounkara,,31:38,16,7-15,46.7,7-14,50,0-1,0,2-2,100,5,9,14,2,0,1,1,3,3,16
10,G. Crisostomo,,26:31,16,7-9,77.8,7-9,77.8,0-0,0,2-2,100,2,8,10,1,0,1,1,2,2,18
9,N. Cabanero,,29:07,11,5-17,29.4,5-12,41.7,0-5,0,1-1,100,3,3,6,4,1,0,0,0,2,20
11,F. Padrigao,,28:55,6,2-12,16.7,0-4,0,2-8,25,0-0,0,0,3,3,9,0,0,0,2,1,16
5,C. Lane,,06:37,1,0-1,0,0-0,0,0-1,0,1-2,50,0,0,0,0,0,0,0,1,1,5
,bench ,,,,,,,,,,,,,,,,,,,,,
14,M. Llemit,,18:37,10,3-3,100,2-2,100,1-1,100,3-4,75,0,1,1,1,1,2,0,2,3,-1
23,G. Robinson,,14:39,6,2-4,50,2-3,66.7,0-1,0,2-4,50,0,2,2,0,0,1,0,5,3,-3
3,K. Paranada,,08:59,5,1-2,50,0-1,0,1-1,100,2-2,100,0,1,1,2,2,0,0,1,3,-2
20,A. Acido,,05:31,3,1-2,50,0-0,0,1-2,50,0-0,0,0,0,0,0,0,0,0,0,1,-7
1,L. Estacio,,07:33,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,3,1,0,0,0,0,2
4,C. Manaytay,,15:19,0,0-3,0,0-2,0,0-1,0,0-0,0,1,3,4,0,1,0,0,0,1,-9
17,M. Pangilinan,,06:30,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,2,0,-5
,,,,,,,,,,,,,,,,,,,,,,
16,J. Lazaro,,29:20,18,8-13,61.5,7-11,63.6,1-2,50,1-1,100,1,9,10,4,3,1,1,3,2,-16
24,S. Quitevis,,30:38,4,1-5,20,1-2,50,0-3,0,2-2,100,0,2,2,3,0,0,0,3,2,-8
22,K. Ong,,11:07,4,2-2,100,2-2,100,0-0,0,0-0,0,0,3,3,0,0,0,0,2,2,1
9,J. Bahay,,26:14,3,1-9,11.1,0-2,0,1-7,14.3,0-0,0,1,2,3,5,2,0,0,2,4,-20
3,A. Bongo,,19:49,0,0-4,0,0-2,0,0-2,0,0-0,0,0,0,0,2,0,0,1,2,0,-8
,bench ,,,,,,,,,,,,,,,,,,,,,
10,S. Tuano,,22:49,13,5-9,55.6,5-6,83.3,0-3,0,3-6,50,1,2,3,0,1,2,0,1,4,-11
25,K. Porter,,18:04,10,4-8,50,2-5,40,2-3,66.7,0-0,0,1,8,9,0,1,0,0,1,0,-1
7,I. Espinosa,,15:53,8,3-6,50,3-6,50,0-0,0,2-2,100,1,3,4,1,1,1,1,3,2,10
14,A. Balogun,,08:25,2,1-2,50,1-2,50,0-0,0,0-0,0,1,1,2,2,1,0,0,0,1,-10
19,W. Espina,,09:02,2,1-3,33.3,1-1,100,0-2,0,0-0,0,0,0,0,1,2,0,1,2,0,6
21,F. Edu,,06:06,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,1,0,0,0,0,1,4
30,M. Reyes,,02:29,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,3
