NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
35,M. Konateh,,36:14,17,6-7,85.7,6-7,85.7,0-0,0,5-7,71.4,9,7,16,3,1,1,2,1,6,-3
51,V. Pre,,34:15,15,5-14,35.7,5-13,38.5,0-1,0,5-6,83.3,3,6,9,1,5,1,1,1,5,-1
13,J. Pasaol,,28:01,7,3-11,27.3,2-7,28.6,1-4,25,0-3,0,0,11,11,4,2,1,0,2,2,1
3,J. Bautista,,28:14,7,3-13,23.1,2-8,25,1-5,20,0-0,0,0,3,3,3,1,0,0,4,2,8
8,C. Anonuevo,,03:22,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,1,0,0,0,0,0,7
,bench ,,,,,,,,,,,,,,,,,,,,,
18,R. Alforque,,24:59,6,3-6,50,3-6,50,0-0,0,0-0,0,0,2,2,2,5,1,0,1,4,-14
15,A. Bagunu,,15:22,4,1-2,50,1-2,50,0-0,0,2-2,100,2,2,4,1,3,1,1,2,1,4
5,J. Daa,,18:39,4,2-6,33.3,2-3,66.7,0-3,0,0-0,0,0,1,1,0,1,2,0,3,0,-1
10,R. Montemayor,,03:55,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-5
21,A. Nakai,,03:08,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,-7
27,M. Ona,,03:45,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,1
,,,,,,,,,,,,,,,,,,,,,,
5,P. Palacielo,,22:45,9,4-11,36.4,4-10,40,0-1,0,1-2,50,1,5,6,2,2,1,0,5,2,3
7,P. Francisco,,22:00,7,3-8,37.5,2-3,66.7,1-5,20,0-0,0,2,2,4,1,1,4,0,0,1,15
13,S. Enriquez,,11:09,6,2-3,66.7,0-1,0,2-2,100,0-0,0,2,0,2,1,2,1,0,3,0,-9
4,J. Garcia,,12:52,5,2-8,25,2-8,25,0-0,0,1-2,50,0,3,3,1,1,0,0,0,2,3
16,G. Santiago,,18:33,4,1-3,33.3,1-3,33.3,0-0,0,2-2,100,2,1,3,1,0,2,1,2,1,20
8,N. Tulabut,,01:50,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
12,P. Yu,,04:57,1,0-2,0,0-0,0,0-2,0,1-2,50,0,1,1,0,1,0,0,1,1,-7
10,I. Manansala,,14:52,0,0-5,0,0-4,0,0-1,0,0-0,0,1,1,2,1,0,0,0,2,1,1
25,E. Dela Cruz,,05:45,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,1,0,0,0,2,0,-7
22,B. Parks,,01:46,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,1,0,0,0,0,2
,starters ,,,,,,,,,,,,,,,,,,,,,
20,J. Figueroa,,33:03,8,4-13,30.8,4-12,33.3,0-1,0,0-1,0,2,5,7,6,5,3,1,2,5,8
77,K. Padrones,,19:02,8,3-6,50,3-6,50,0-0,0,2-6,33.3,9,1,10,0,0,0,0,1,3,-8
44,R. Jumamoy,,12:09,5,2-7,28.6,2-5,40,0-2,0,1-1,100,0,1,1,1,1,1,0,1,1,2
21,K. Perciano,,03:58,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-7
11,D. Lim,,15:11,3,1-3,33.3,0-1,0,1-2,50,0-0,0,0,3,3,0,0,0,0,0,1,-4
