NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
12,J. Cagulangan,,27:52,21,8-14,57.1,3-8,37.5,5-6,83.3,0-0,0,4,3,7,4,1,0,0,2,2,7
13,M. Belmonte,,18:56,9,4-10,40,3-9,33.3,1-1,100,0-0,0,2,2,4,2,2,0,0,0,0,4
8,J. Bayla,,24:34,7,2-4,50,1-2,50,1-2,50,2-6,33.3,1,3,4,1,1,0,1,3,3,12
19,G. Abadiano,,23:11,6,3-8,37.5,3-5,60,0-3,0,0-0,0,0,4,4,4,0,2,0,0,1,16
42,Q. Millora-Brown,,12:46,5,1-4,25,1-4,25,0-0,0,3-3,100,2,1,3,0,0,0,2,3,4,2
,bench ,,,,,,,,,,,,,,,,,,,,,
18,H. Alarcon,,14:01,9,4-5,80,4-5,80,0-0,0,1-1,100,0,3,3,2,1,2,0,2,2,6
17,F. Lopez,,21:28,7,3-7,42.9,3-5,60,0-2,0,1-2,50,0,4,4,3,1,0,3,2,4,4
88,D. Ududo,,06:28,7,3-6,50,3-6,50,0-0,0,1-4,25,1,0,1,0,0,1,0,5,2,5
10,T. Fortea,,09:38,5,1-2,50,0-0,0,1-2,50,2-5,40,1,4,5,2,3,0,0,2,3,6
55,G. Stevens,,16:13,2,1-1,100,1-1,100,0-0,0,0-2,0,2,1,3,1,2,0,0,3,1,-2
11,C. Briones,,09:17,2,1-2,50,1-1,100,0-1,0,0-0,0,0,2,2,0,1,0,0,1,0,-7
2,R. Torres,,06:30,1,0-1,0,0-0,0,0-1,0,1-2,50,0,0,0,1,2,0,0,0,1,-4
5,D. Walker,,04:30,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,2,0,0,0,0,0,-4
33,S. Alter,,04:31,0,0-1,0,0-1,0,0-0,0,0-2,0,0,1,1,0,0,0,0,2,2,5
,,,,,,,,,,,,,,,,,,,,,,
35,P. Momowei,,34:02,20,6-14,42.9,6-13,46.2,0-1,0,8-14,57.1,5,8,13,1,3,0,3,4,12,5
7,W. Lingolingo,,25:32,11,4-9,44.4,1-2,50,3-7,42.9,0-0,0,3,5,8,1,0,2,0,2,1,0
11,J. Abate,,26:14,6,2-10,20,2-6,33.3,0-4,0,2-2,100,3,2,5,3,3,1,0,3,2,3
29,G. Wilson,,18:57,6,3-4,75,3-4,75,0-0,0,0-0,0,0,1,1,1,1,0,0,0,0,-13
12,D. Fikes,,25:03,6,2-6,33.3,1-3,33.3,1-3,33.3,1-4,25,0,1,1,0,3,1,0,1,2,-14
,bench ,,,,,,,,,,,,,,,,,,,,,
1,N. Mulingtapang,,12:18,9,1-3,33.3,1-2,50,0-1,0,7-8,87.5,1,1,2,1,1,1,0,1,5,11
23,R. Maga,,19:19,9,4-7,57.1,3-5,60,1-2,50,0-0,0,0,0,0,0,2,0,0,3,1,-10
0,E. Galang,,20:54,2,1-4,25,1-1,100,0-3,0,0-0,0,2,1,3,1,0,2,1,5,1,-3
2,J. Cruz-Dumont,,08:56,2,0-4,0,0-2,0,0-2,0,2-2,100,0,0,0,1,0,1,0,1,1,-11
10,H. Cruz-Dumont,,04:29,0,0-1,0,0-1,0,0-0,0,0-0,0,1,1,2,0,2,0,0,2,0,-5
15,R. Malaga III,,04:10,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,3,0,-13
