NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
9,N. Cabanero,,27:00,16,5-11,45.5,2-6,33.3,3-5,60,3-7,42.9,1,4,5,0,0,1,0,1,8,-9
36,M. Tounkara,,28:05,7,2-7,28.6,2-6,33.3,0-1,0,3-4,75,1,4,5,1,4,0,0,1,2,-13
5,C. Lane,,12:08,4,1-3,33.3,1-2,50,0-1,0,2-2,100,1,1,2,1,0,2,0,2,2,9
11,F. Padrigao,,20:49,2,1-7,14.3,1-1,100,0-6,0,0-0,0,0,4,4,6,4,2,0,2,1,-5
10,G. Crisostomo,,17:43,0,0-4,0,0-3,0,0-1,0,0-0,0,0,6,6,0,0,0,0,3,0,-6
,bench ,,,,,,,,,,,,,,,,,,,,,
4,C. Manaytay,,19:35,9,4-6,66.7,3-3,100,1-3,33.3,0-0,0,0,1,1,1,1,2,0,0,2,-12
3,K. Paranada,,15:08,6,2-5,40,1-2,50,1-3,33.3,1-1,100,0,0,0,1,0,0,0,1,0,-11
23,G. Robinson,,12:10,3,1-5,20,0-3,0,1-2,50,0-0,0,0,2,2,1,0,0,0,0,0,-8
17,M. Pangilinan,,09:47,3,1-3,33.3,0-0,0,1-3,33.3,0-2,0,1,0,1,1,0,0,0,1,1,0
1,L. Estacio,,11:58,2,1-2,50,1-1,100,0-1,0,0-0,0,0,2,2,2,1,1,0,0,0,-1
14,M. Llemit,,15:16,2,0-2,0,0-1,0,0-1,0,2-2,100,1,1,2,2,0,0,0,4,2,-12
29,E. Laure,,02:42,2,1-2,50,1-2,50,0-0,0,0-0,0,1,0,1,0,0,0,0,0,0,0
20,A. Acido,,05:35,0,0-0,0,0-0,0,0-0,0,0-0,0,0,2,2,1,1,0,0,0,0,-2
21,Z. Mahmood,,01:56,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,5
,,,,,,,,,,,,,,,,,,,,,,
3,M. Montebon,,21:05,15,5-14,35.7,4-11,36.4,1-3,33.3,4-4,100,1,4,5,4,2,2,0,1,4,17
13,R. Mantua,,19:12,11,4-5,80,3-3,100,1-2,50,2-2,100,1,1,2,0,1,0,0,1,1,2
22,J. Calisay,,17:50,5,2-6,33.3,1-2,50,1-4,25,0-0,0,1,5,6,2,2,0,0,2,0,8
10,C. Manzano,,23:21,5,1-4,25,1-4,25,0-0,0,3-4,75,1,7,8,1,3,0,2,1,5,2
23,M. Ojarikre,,22:35,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,4,6,10,0,1,0,1,1,0,12
,bench ,,,,,,,,,,,,,,,,,,,,,
27,A. Fransman,,18:18,11,4-9,44.4,1-4,25,3-5,60,0-0,0,1,9,10,2,1,2,1,1,1,16
18,M. Erolon,,18:26,6,3-9,33.3,3-6,50,0-3,0,0-0,0,1,0,1,6,0,1,0,1,1,1
6,J. Yerro,,19:20,5,2-8,25,2-3,66.7,0-5,0,1-1,100,1,0,1,3,2,0,0,3,2,8
1,E. Ramos,,08:24,5,2-3,66.7,1-2,50,1-1,100,0-0,0,0,0,0,1,0,1,0,2,1,-4
9,M. Barasi Jr,,14:41,2,1-2,50,1-2,50,0-0,0,0-0,0,0,2,2,1,0,0,0,3,1,0
20,M. Anabo,,11:50,2,1-2,50,1-1,100,0-1,0,0-0,0,0,0,0,0,1,0,0,0,0,6
32,A. Ronzone,,03:06,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,3
8,A. Ignacio,,00:39,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
12,F. Dignadice,,01:07,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-4
