NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
28,K. Quiambao,,33:55,13,4-14,28.6,3-5,60,1-9,11.1,4-4,100,3,10,13,7,4,2,0,1,4,13
1,J. Macalalag,,20:12,9,4-8,50,4-7,57.1,0-1,0,1-3,33.3,3,2,5,1,1,0,0,1,2,13
32,E. Gollena,,19:29,6,2-7,28.6,1-5,20,1-2,50,1-2,50,5,0,5,1,0,1,0,3,2,12
12,E. Abadam,,14:44,6,2-5,40,0-0,0,2-5,40,0-0,0,0,2,2,0,1,0,0,2,0,8
21,H. Agunanne,,12:14,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,1,3,4,0,3,0,0,1,2,4
,bench ,,,,,,,,,,,,,,,,,,,,,
25,M. Phillips,,20:30,13,5-9,55.6,5-9,55.6,0-0,0,3-4,75,6,8,14,2,3,3,0,4,4,10
5,V. David,,23:50,8,3-7,42.9,1-3,33.3,2-4,50,0-0,0,1,6,7,1,3,0,0,2,0,5
6,R. Gonzales,,13:11,7,3-3,100,3-3,100,0-0,0,1-2,50,1,2,3,0,3,0,1,4,1,-1
19,D. Dungo,,13:47,6,2-5,40,2-2,100,0-3,0,2-2,100,0,4,4,1,1,0,0,0,2,4
11,L. Ramiro,,14:27,2,1-6,16.7,1-3,33.3,0-3,0,0-0,0,0,0,0,1,1,1,0,3,0,3
2,V. Marasigan,,09:25,2,1-4,25,1-3,33.3,0-1,0,0-0,0,3,0,3,0,2,0,0,5,0,-1
47,A. Konov,,03:25,0,0-0,0,0-0,0,0-0,0,0-0,0,1,1,2,1,0,0,0,0,0,-5
26,M. Rubico,,00:44,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
10,S. Tuano,,32:35,18,9-14,64.3,9-12,75,0-2,0,0-6,0,5,1,6,2,4,2,0,3,4,-3
9,J. Bahay,,21:25,8,2-10,20,1-4,25,1-6,16.7,3-4,75,1,2,3,6,1,3,0,1,3,-9
25,K. Porter,,24:57,8,2-9,22.2,2-5,40,0-4,0,4-5,80,2,4,6,0,1,0,0,2,3,-7
16,J. Lazaro,,24:50,6,2-7,28.6,2-5,40,0-2,0,2-4,50,3,4,7,0,5,0,0,2,6,-20
24,S. Quitevis,,22:58,2,0-2,0,0-1,0,0-1,0,2-2,100,2,2,4,1,1,1,0,2,2,-14
,bench ,,,,,,,,,,,,,,,,,,,,,
3,A. Bongo,,16:31,9,2-8,25,1-1,100,1-7,14.3,4-4,100,0,1,1,2,0,0,0,0,2,-1
19,W. Espina,,13:29,6,2-7,28.6,0-3,0,2-4,50,0-0,0,1,2,3,3,0,1,0,2,0,6
14,A. Balogun,,13:08,3,1-3,33.3,1-3,33.3,0-0,0,1-2,50,1,3,4,0,0,1,2,5,1,0
7,I. Espinosa,,19:14,1,0-3,0,0-2,0,0-1,0,1-2,50,0,3,3,2,0,2,0,0,5,-4
2,K. Gamber,,07:21,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,1,1,0,0,0,0,-10
22,K. Ong,,03:27,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-3
