NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Bautista,,28:07,16,6-18,33.3,2-8,25,4-10,40,0-0,0,0,1,1,3,2,2,0,1,1,3
18,R. Alforque,,23:29,5,2-5,40,1-3,33.3,1-2,50,0-0,0,2,6,8,4,2,1,0,3,4,2
15,A. Bagunu,,12:36,5,1-2,50,1-2,50,0-0,0,3-3,100,1,1,2,1,1,0,0,2,4,7
27,M. Ona,,07:45,3,1-2,50,1-2,50,0-0,0,1-1,100,2,1,3,0,0,0,0,3,1,4
10,R. Montemayor,,13:55,0,0-4,0,0-3,0,0-1,0,0-0,0,2,2,4,2,2,0,0,1,0,7
11,J. Jones,,01:15,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-2
1,N. Duque,,00:28,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
,starters ,,,,,,,,,,,,,,,,,,,,,
51,V. Pre,,30:46,13,5-10,50,4-9,44.4,1-1,100,2-5,40,3,6,9,3,4,0,0,4,2,-12
35,M. Konateh,,32:03,6,3-10,30,3-10,30,0-0,0,0-2,0,2,15,17,0,2,1,3,2,2,-8
13,J. Pasaol,,18:43,3,0-3,0,0-3,0,0-0,0,3-4,75,1,3,4,2,1,1,0,1,3,-12
21,A. Nakai,,08:29,0,0-4,0,0-0,0,0-4,0,0-0,0,0,1,1,0,1,0,0,1,0,-9
5,J. Daa,,22:19,0,0-5,0,0-3,0,0-2,0,0-0,0,0,0,0,0,2,0,1,2,2,-5
,,,,,,,,,,,,,,,,,,,,,,
29,G. Wilson,,16:07,10,4-5,80,2-3,66.7,2-2,100,0-0,0,0,2,2,1,0,0,0,1,0,9
7,W. Lingolingo,,25:03,7,2-7,28.6,1-2,50,1-5,20,2-2,100,1,4,5,1,1,2,0,4,3,6
1,N. Mulingtapang,,05:16,3,1-2,50,0-1,0,1-1,100,0-0,0,0,0,0,0,0,0,0,1,0,-5
12,D. Fikes,,13:27,2,1-3,33.3,1-1,100,0-2,0,0-0,0,0,2,2,2,1,0,0,3,0,-6
8,D. Robles,,03:00,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,1,0,0,-3
24,J. Jimenez,,01:09,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,1
22,K. Spandonis,,00:54,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-1
,starters ,,,,,,,,,,,,,,,,,,,,,
0,E. Galang,,27:43,10,3-10,30,1-4,25,2-6,33.3,2-3,66.7,0,1,1,1,1,3,1,4,3,9
23,R. Maga,,24:30,9,4-8,50,4-8,50,0-0,0,1-1,100,0,1,1,2,1,0,0,1,1,14
35,P. Momowei,,38:50,7,2-7,28.6,2-6,33.3,0-1,0,3-10,30,2,10,12,2,7,0,2,2,9,4
2,J. Cruz-Dumont,,26:48,4,1-7,14.3,1-5,20,0-2,0,2-4,50,2,9,11,6,0,1,0,1,4,-2
11,J. Abate,,17:06,4,2-7,28.6,2-4,50,0-3,0,0-1,0,1,2,3,1,0,1,0,2,1,-1
