NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
20,J. Figueroa,,26:38,11,3-11,27.3,3-9,33.3,0-2,0,5-9,55.6,1,3,4,1,1,1,0,2,7,-28
13,S. Enriquez,,16:44,5,2-3,66.7,1-1,100,1-2,50,0-0,0,0,3,3,2,1,0,0,0,1,-16
21,K. Perciano,,11:01,4,2-4,50,2-4,50,0-0,0,0-0,0,0,0,0,0,0,0,0,4,0,-20
77,K. Padrones,,21:16,2,1-3,33.3,1-2,50,0-1,0,0-0,0,2,3,5,1,2,2,2,3,0,-17
11,D. Lim,,12:08,0,0-3,0,0-1,0,0-2,0,0-0,0,0,1,1,0,0,0,0,1,0,-12
,bench ,,,,,,,,,,,,,,,,,,,,,
10,I. Manansala,,18:19,9,3-9,33.3,3-8,37.5,0-1,0,3-4,75,6,4,10,1,2,1,0,0,5,-3
44,R. Jumamoy,,11:21,6,2-7,28.6,0-3,0,2-4,50,0-0,0,0,1,1,2,2,1,0,1,2,-5
4,T. Garcia,,13:28,6,3-5,60,3-5,60,0-0,0,0-1,0,0,1,1,0,2,0,0,2,1,-10
12,P. Yu,,14:25,5,2-5,40,2-3,66.7,0-2,0,1-4,25,2,2,4,0,0,0,0,2,2,-5
8,N. Tulabut,,10:31,4,2-3,66.7,2-2,100,0-1,0,0-1,0,1,2,3,3,2,0,0,0,1,3
7,P. Francisco,,11:42,4,2-5,40,2-4,50,0-1,0,0-0,0,0,0,0,1,0,1,0,2,0,-5
16,G. Santiago,,15:15,4,0-2,0,0-0,0,0-2,0,4-4,100,0,2,2,0,1,1,0,0,2,-16
5,P. Palacielo,,06:15,2,1-2,50,1-2,50,0-0,0,0-0,0,0,2,2,0,2,0,0,5,1,2
25,E. Dela Cruz,,04:42,0,0-1,0,0-1,0,0-0,0,0-0,0,0,3,3,1,1,0,0,2,0,-8
22,B. Parks,,06:08,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,5
,,,,,,,,,,,,,,,,,,,,,,
13,M. Belmonte,,15:11,14,6-7,85.7,5-5,100,1-2,50,1-1,100,0,3,3,2,1,1,1,2,2,29
12,J. Cagulangan,,17:15,13,3-6,50,2-3,66.7,1-3,33.3,6-6,100,0,2,2,4,2,0,0,1,4,20
19,G. Abadiano,,18:42,7,2-9,22.2,1-5,20,1-4,25,2-2,100,1,1,2,3,0,0,0,1,0,22
8,J. Bayla,,13:58,4,1-2,50,1-1,100,0-1,0,2-4,50,1,4,5,1,0,1,0,0,3,20
55,G. Stevens,,02:43,0,0-2,0,0-2,0,0-0,0,0-2,0,2,1,3,1,0,0,0,2,2,4
,bench ,,,,,,,,,,,,,,,,,,,,,
17,F. Lopez,,14:05,8,2-5,40,1-3,33.3,1-2,50,3-4,75,0,5,5,0,3,1,0,1,3,-2
42,Q. Millora-Brown,,14:29,8,2-3,66.7,2-3,66.7,0-0,0,4-5,80,1,3,4,0,0,0,1,2,5,17
88,D. Ududo,,11:24,6,2-5,40,2-5,40,0-0,0,2-2,100,4,2,6,1,0,0,1,2,4,15
24,S. Torculas,,11:06,6,3-5,60,3-5,60,0-0,0,0-0,0,1,3,4,1,3,0,0,1,1,-1
20,J. Felicilda,,07:42,6,2-3,66.7,0-0,0,2-3,66.7,0-0,0,0,1,1,1,0,0,0,3,0,6
10,T. Fortea,,19:04,5,2-7,28.6,1-2,50,1-5,20,0-0,0,0,1,1,4,1,1,0,3,0,5
33,S. Alter,,11:22,4,2-6,33.3,2-4,50,0-2,0,0-0,0,4,3,7,0,0,0,0,2,0,-9
18,H. Alarcon,,17:05,3,1-4,25,0-1,0,1-3,33.3,0-0,0,0,2,2,2,0,0,0,1,0,14
11,C. Briones,,11:43,3,1-3,33.3,0-1,0,1-2,50,0-0,0,1,2,3,0,0,0,0,0,0,-7
2,R. Torres,,08:23,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,1,0,1,1,1,0,0,2,0,8
5,D. Walker,,05:42,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,1,0,2,0,0,0,-6
