NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
13,S. Enriquez,,26:50,17,4-10,40,0-3,0,4-7,57.1,5-6,83.3,1,2,3,5,1,1,0,2,5,5
20,J. Figueroa,,32:51,11,5-8,62.5,5-7,71.4,0-1,0,1-3,33.3,5,4,9,1,5,0,1,4,6,0
11,D. Lim,,21:47,8,3-9,33.3,1-3,33.3,2-6,33.3,0-0,0,0,2,2,0,0,0,0,4,1,6
77,K. Padrones,,27:36,6,2-3,66.7,0-0,0,2-3,66.7,0-2,0,0,2,2,1,0,0,2,2,1,-7
21,K. Perciano,,07:08,6,3-5,60,3-5,60,0-0,0,0-0,0,0,0,0,0,1,1,0,2,0,-5
,bench ,,,,,,,,,,,,,,,,,,,,,
10,I. Manansala,,23:23,6,2-7,28.6,1-2,50,1-5,20,1-2,50,1,4,5,0,2,2,0,3,3,-5
44,R. Jumamoy,,13:25,5,1-5,20,1-3,33.3,0-2,0,3-3,100,2,2,4,1,2,0,0,0,3,-5
4,T. Garcia,,05:09,3,1-2,50,1-2,50,0-0,0,1-2,50,0,0,0,0,0,0,0,2,2,-4
5,P. Palacielo,,20:14,2,1-5,20,1-5,20,0-0,0,0-2,0,1,3,4,0,1,2,1,2,2,8
12,P. Yu,,13:34,0,0-3,0,0-1,0,0-2,0,0-0,0,0,3,3,1,0,0,0,1,0,-3
16,G. Santiago,,02:50,0,0-2,0,0-0,0,0-2,0,0-0,0,0,1,1,0,0,0,0,2,0,-5
7,P. Francisco,,04:06,0,0-2,0,0-2,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,1,-1
25,E. Dela Cruz,,01:00,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,
36,M. Tounkara,,30:40,15,5-12,41.7,4-10,40,1-2,50,4-5,80,4,6,10,2,3,0,1,0,3,5
4,C. Manaytay,,25:12,14,4-6,66.7,4-6,66.7,0-0,0,6-7,85.7,2,3,5,3,6,1,0,3,4,9
9,N. Cabanero,,24:17,10,4-8,50,3-4,75,1-4,25,1-3,33.3,0,5,5,2,0,1,0,4,3,4
11,F. Padrigao,,20:31,8,3-6,50,2-2,100,1-4,25,1-2,50,0,3,3,5,4,1,0,4,2,15
23,G. Robinson,,16:46,0,0-1,0,0-0,0,0-1,0,0-2,0,0,0,0,0,0,0,0,3,1,-9
,bench ,,,,,,,,,,,,,,,,,,,,,
20,A. Acido,,10:23,5,1-3,33.3,0-1,0,1-2,50,2-2,100,2,3,5,1,1,0,0,0,1,3
10,G. Crisostomo,,16:06,5,1-3,33.3,1-3,33.3,0-0,0,3-4,75,3,6,9,0,1,1,1,1,4,-4
3,K. Paranada,,09:32,4,1-3,33.3,0-0,0,1-3,33.3,1-2,50,0,1,1,1,3,0,0,3,1,-4
1,L. Estacio,,18:22,3,1-2,50,0-0,0,1-2,50,0-0,0,0,1,1,1,0,1,0,1,3,9
17,M. Pangilinan,,13:38,3,1-3,33.3,0-0,0,1-3,33.3,0-0,0,0,2,2,0,1,1,0,3,0,-2
14,M. Llemit,,14:26,0,0-4,0,0-1,0,0-3,0,0-0,0,0,2,2,2,0,0,0,2,3,-11
