NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
10,S. Tuano,,18:50,11,2-5,40,1-3,33.3,1-2,50,6-8,75,0,4,4,1,0,0,0,2,4,6
3,A. Bongo,,13:32,7,1-5,20,0-2,0,1-3,33.3,4-4,100,0,1,1,0,2,2,0,3,3,-3
2,K. Gamber,,04:46,6,2-3,66.7,0-0,0,2-3,66.7,0-0,0,0,1,1,1,0,0,0,0,0,-5
7,I. Espinosa,,16:09,2,0-3,0,0-1,0,0-2,0,2-4,50,0,4,4,4,1,2,0,1,3,-3
14,A. Balogun,,06:32,1,0-1,0,0-0,0,0-1,0,1-2,50,0,1,1,0,2,0,0,1,3,1
22,K. Ong,,05:05,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,1,0,-6
21,F. Edu,,01:13,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-2
19,W. Espina,,04:03,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,1
,starters ,,,,,,,,,,,,,,,,,,,,,
25,K. Porter,,28:41,8,4-9,44.4,4-6,66.7,0-3,0,0-0,0,4,6,10,1,1,1,1,2,1,10
6,C. Koon,,24:49,8,3-10,30,1-5,20,2-5,40,0-1,0,2,2,4,1,1,1,0,3,4,11
16,J. Lazaro,,26:38,7,3-9,33.3,2-7,28.6,1-2,50,0-2,0,1,1,2,2,1,1,0,1,4,12
24,S. Quitevis,,25:46,5,2-3,66.7,1-1,100,1-2,50,0-0,0,0,3,3,4,0,1,0,3,1,11
9,J. Bahay,,23:50,5,2-11,18.2,1-3,33.3,1-8,12.5,0-0,0,2,3,5,2,0,1,0,4,2,12
,,,,,,,,,,,,,,,,,,,,,,
10,C. Manzano,,19:41,14,5-8,62.5,5-8,62.5,0-0,0,4-4,100,4,3,7,2,3,0,1,5,3,-3
27,A. Fransman,,19:23,2,1-7,14.3,1-4,25,0-3,0,0-0,0,1,5,6,0,2,0,0,3,1,-8
22,J. Calisay,,15:05,2,1-5,20,1-3,33.3,0-2,0,0-0,0,0,4,4,0,1,0,0,2,0,-10
13,R. Mantua,,17:59,2,1-4,25,1-2,50,0-2,0,0-0,0,0,2,2,0,1,0,0,2,1,-11
3,M. Montebon,,14:19,2,1-5,20,1-2,50,0-3,0,0-0,0,0,1,1,0,1,0,0,1,1,-17
,bench ,,,,,,,,,,,,,,,,,,,,,
6,J. Yerro,,25:40,6,0-3,0,0-1,0,0-2,0,6-6,100,0,4,4,0,2,0,0,2,5,-6
1,E. Ramos,,12:16,6,3-6,50,3-5,60,0-1,0,0-2,0,2,2,4,0,1,0,0,2,2,7
18,M. Erolon,,19:30,4,2-5,40,2-3,66.7,0-2,0,0-0,0,0,0,0,3,3,1,0,2,2,4
20,M. Anabo,,13:19,4,2-2,100,2-2,100,0-0,0,0-2,0,0,2,2,2,0,0,0,0,2,2
9,M. Barasi Jr,,10:15,4,1-2,50,1-2,50,0-0,0,2-3,66.7,1,3,4,0,1,0,0,0,2,4
23,M. Ojarikre,,16:34,2,1-3,33.3,1-3,33.3,0-0,0,0-1,0,1,9,10,0,2,0,2,3,2,-10
12,F. Dignadice,,04:24,2,1-3,33.3,1-1,100,0-2,0,0-0,0,1,0,1,0,0,0,0,1,0,-3
5,C. Alexander,,11:28,1,0-0,0,0-0,0,0-0,0,1-2,50,0,0,0,1,1,0,0,2,1,6
