NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
17,F. Lopez,,12:53,13,6-9,66.7,6-8,75,0-1,0,1-2,50,0,4,4,0,2,0,0,1,4,13
20,J. Felicilda,,14:17,9,4-6,66.7,3-4,75,1-2,50,0-0,0,0,0,0,3,2,1,0,2,0,6
18,H. Alarcon,,11:11,6,2-3,66.7,2-3,66.7,0-0,0,2-2,100,0,2,2,1,3,0,0,1,2,7
2,R. Torres,,16:24,4,2-5,40,2-4,50,0-1,0,0-0,0,0,3,3,1,1,2,0,2,0,4
33,S. Alter,,09:14,4,2-2,100,2-2,100,0-0,0,0-0,0,1,2,3,0,2,1,0,1,0,4
11,C. Briones,,12:12,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,1,1,3,1,1,0,1,0,-7
5,D. Walker,,05:02,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,1,0,0,0,0,0,-13
88,D. Ududo,,13:26,2,1-8,12.5,1-8,12.5,0-0,0,0-0,0,3,2,5,0,0,0,0,2,0,-11
10,T. Fortea,,08:48,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,3,0,2,0,2,0,1
13,M. Belmonte,,13:35,0,0-3,0,0-1,0,0-2,0,0-0,0,0,3,3,1,0,0,0,1,1,-15
24,S. Torculas,,03:36,0,0-2,0,0-2,0,0-0,0,0-0,0,2,0,2,0,0,1,0,1,0,5
,starters ,,,,,,,,,,,,,,,,,,,,,
42,Q. Millora-Brown,,21:32,11,4-7,57.1,3-6,50,1-1,100,2-2,100,1,12,13,1,2,0,0,1,1,16
12,J. Cagulangan,,21:16,7,3-11,27.3,3-8,37.5,0-3,0,1-2,50,0,4,4,5,2,1,0,1,5,11
8,J. Bayla,,17:22,6,2-5,40,0-3,0,2-2,100,0-0,0,0,2,2,0,0,0,0,1,0,11
19,G. Abadiano,,12:43,3,1-4,25,0-3,0,1-1,100,0-0,0,2,2,4,4,0,2,0,1,1,13
55,G. Stevens,,06:23,0,0-1,0,0-1,0,0-0,0,0-0,0,1,1,2,0,0,0,0,2,0,10
,,,,,,,,,,,,,,,,,,,,,,
21,A. Nakai,,11:51,12,4-5,80,2-2,100,2-3,66.7,2-3,66.7,1,2,3,0,1,0,0,1,2,9
51,V. Pre,,33:02,10,5-16,31.3,5-12,41.7,0-4,0,0-2,0,0,2,2,2,3,0,1,2,2,-11
35,M. Konateh,,27:44,8,2-7,28.6,2-7,28.6,0-0,0,4-5,80,3,12,15,1,4,2,2,2,6,5
13,J. Pasaol,,25:16,2,0-9,0,0-7,0,0-2,0,2-2,100,0,3,3,3,3,1,0,1,2,-17
5,J. Daa,,19:30,0,0-3,0,0-2,0,0-1,0,0-0,0,0,2,2,0,3,0,0,3,1,-10
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Bautista,,26:18,11,4-10,40,3-6,50,1-4,25,2-3,66.7,0,7,7,0,0,2,0,1,2,-19
10,R. Montemayor,,16:18,9,4-6,66.7,4-5,80,0-1,0,1-1,100,4,1,5,0,1,0,0,1,1,-3
18,R. Alforque,,19:02,6,1-7,14.3,0-4,0,1-3,33.3,3-3,100,1,3,4,2,1,2,0,1,3,8
15,A. Bagunu,,06:38,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,1,0,0,0,0,-1
27,M. Ona,,14:16,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,3,0,-16
