NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
25,M. Phillips,,22:20,13,5-9,55.6,5-8,62.5,0-1,0,3-4,75,4,10,14,2,3,0,2,3,3,-3
6,R. Gonzales,,11:39,8,4-6,66.7,4-6,66.7,0-0,0,0-0,0,0,3,3,2,1,1,0,1,0,1
32,E. Gollena,,15:47,6,1-2,50,0-1,0,1-1,100,3-4,75,1,0,1,0,1,1,1,1,3,-3
11,L. Ramiro,,06:34,3,1-3,33.3,0-1,0,1-2,50,0-0,0,0,0,0,1,0,0,0,1,0,-1
2,V. Marasigan,,04:17,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
16,C. Austria,,11:02,0,0-3,0,0-2,0,0-1,0,0-0,0,1,2,3,1,2,0,0,0,1,-5
19,D. Dungo,,04:48,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,1,0,0,0,2,0,3
26,M. Rubico,,03:38,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,2,0,0,1,0,-1
,starters ,,,,,,,,,,,,,,,,,,,,,
28,K. Quiambao,,30:09,12,5-12,41.7,4-8,50,1-4,25,1-1,100,4,7,11,8,4,3,0,2,6,17
12,E. Abadam,,28:09,9,4-8,50,3-6,50,1-2,50,0-0,0,0,0,0,1,0,1,1,1,1,14
21,H. Agunanne,,16:46,9,4-8,50,4-8,50,0-0,0,1-4,25,4,2,6,0,3,1,1,2,3,-2
5,V. David,,21:10,3,1-6,16.7,0-4,0,1-2,50,0-0,0,0,9,9,4,1,0,0,2,1,5
1,J. Macalalag,,23:36,3,1-5,20,1-3,33.3,0-2,0,1-2,50,0,1,1,3,1,0,0,0,2,8
,,,,,,,,,,,,,,,,,,,,,,
13,J. Pasaol,,29:20,13,5-12,41.7,4-8,50,1-4,25,2-2,100,1,2,3,3,8,3,0,2,3,-6
35,M. Konateh,,36:51,12,4-10,40,4-10,40,0-0,0,4-4,100,8,17,25,0,1,2,4,1,5,-3
51,V. Pre,,34:38,11,4-16,25,4-13,30.8,0-3,0,3-4,75,3,1,4,3,1,0,0,3,2,-11
21,A. Nakai,,12:32,4,2-4,50,2-3,66.7,0-1,0,0-1,0,0,1,1,1,0,0,0,0,1,-1
5,J. Daa,,18:26,0,0-5,0,0-4,0,0-1,0,0-0,0,3,0,3,2,1,1,0,2,1,-14
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Bautista,,29:05,9,3-21,14.3,1-11,9.1,2-10,20,1-2,50,0,0,0,0,2,2,0,4,2,1
18,R. Alforque,,18:09,6,3-5,60,3-5,60,0-0,0,0-0,0,1,3,4,1,0,1,0,2,1,4
10,R. Montemayor,,12:15,5,2-2,100,1-1,100,1-1,100,0-0,0,1,0,1,0,0,0,0,2,0,0
27,M. Ona,,06:46,2,1-2,50,1-1,100,0-1,0,0-0,0,1,1,2,1,0,0,0,3,0,6
15,A. Bagunu,,01:53,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,1,-6
