NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,M. Montebon,,25:02,15,4-7,57.1,1-3,33.3,3-4,75,4-4,100,0,1,1,2,2,1,0,3,4,8
6,J. Yerro,,25:44,11,4-10,40,3-7,42.9,1-3,33.3,2-4,50,1,4,5,1,2,3,0,2,2,5
27,A. Fransman,,17:44,8,3-8,37.5,3-6,50,0-2,0,2-2,100,0,6,6,2,4,2,0,2,1,-2
22,J. Calisay,,20:01,5,2-6,33.3,1-3,33.3,1-3,33.3,0-2,0,1,2,3,2,1,1,0,1,1,-5
9,M. Barasi Jr,,10:39,2,0-2,0,0-2,0,0-0,0,2-2,100,1,2,3,0,0,0,0,1,1,1
1,E. Ramos,,08:06,0,0-2,0,0-2,0,0-0,0,0-0,0,1,2,3,0,1,0,0,2,1,-11
5,C. Alexander,,03:27,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,-1
8,A. Ignacio,,01:24,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,0,0,0,0,0,0,0
,starters ,,,,,,,,,,,,,,,,,,,,,
18,M. Erolon,,12:20,5,2-4,50,1-3,33.3,1-1,100,0-0,0,0,0,0,3,1,2,0,3,0,-1
10,C. Manzano,,15:58,5,2-7,28.6,2-7,28.6,0-0,0,1-2,50,5,2,7,1,3,0,1,4,5,10
23,M. Ojarikre,,24:09,4,1-2,50,1-2,50,0-0,0,2-7,28.6,5,12,17,0,2,0,1,1,4,-1
20,M. Anabo,,21:49,3,1-7,14.3,0-0,0,1-7,14.3,0-0,0,0,4,4,1,0,0,0,3,2,8
13,R. Mantua,,13:31,2,1-4,25,1-3,33.3,0-1,0,0-0,0,0,0,0,2,1,0,0,1,1,-1
,,,,,,,,,,,,,,,,,,,,,,
10,I. Manansala,,20:23,15,4-8,50,4-7,57.1,0-1,0,7-9,77.8,5,4,9,2,0,0,0,3,6,16
5,P. Palacielo,,23:51,8,4-12,33.3,4-12,33.3,0-0,0,0-0,0,2,4,6,1,1,0,1,3,0,-1
44,R. Jumamoy,,13:19,5,1-9,11.1,0-6,0,1-3,33.3,2-2,100,0,1,1,1,2,4,0,1,2,6
13,S. Enriquez,,16:24,4,1-4,25,1-3,33.3,0-1,0,2-2,100,0,2,2,1,3,0,0,0,2,-1
7,P. Francisco,,14:17,2,1-3,33.3,1-2,50,0-1,0,0-0,0,1,0,1,1,1,2,0,2,1,-1
12,P. Yu,,19:14,0,0-2,0,0-0,0,0-2,0,0-0,0,3,1,4,2,0,0,0,2,0,8
22,B. Parks,,01:47,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,1,0,0,0,0,0,-2
11,D. Lim,,08:22,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-1
8,N. Tulabut,,03:37,0,0-2,0,0-1,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,-6
25,E. Dela Cruz,,01:43,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-4
,starters ,,,,,,,,,,,,,,,,,,,,,
20,J. Figueroa,,29:06,11,3-14,21.4,3-11,27.3,0-3,0,5-7,71.4,2,4,6,1,1,1,0,4,5,-1
77,K. Padrones,,21:12,10,4-6,66.7,4-6,66.7,0-0,0,2-2,100,2,4,6,0,1,0,0,1,4,-3
16,G. Santiago,,12:06,3,1-7,14.3,0-2,0,1-5,20,0-0,0,2,3,5,0,0,0,0,2,3,-10
4,T. Garcia,,10:31,0,0-2,0,0-2,0,0-0,0,0-0,0,0,1,1,2,3,0,0,3,0,-8
21,K. Perciano,,04:01,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,1,0,0,1,0,-2
