NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
18,H. Alarcon,,21:33,14,4-10,40,2-6,33.3,2-4,50,4-4,100,2,6,8,0,0,0,1,3,4,23
10,T. Fortea,,16:03,13,4-4,100,1-1,100,3-3,100,2-2,100,0,5,5,1,2,2,0,3,1,5
42,Q. Millora-Brown,,28:06,11,3-6,50,3-5,60,0-1,0,5-6,83.3,7,7,14,0,2,0,0,1,6,15
20,J. Felicilda,,18:20,4,2-5,40,2-4,50,0-1,0,0-0,0,1,3,4,1,0,0,0,1,0,5
24,S. Torculas,,09:21,3,1-5,20,1-3,33.3,0-2,0,1-2,50,1,0,1,0,1,0,0,0,2,5
13,M. Belmonte,,12:50,2,1-5,20,1-4,25,0-1,0,0-0,0,3,4,7,0,0,0,1,0,1,15
88,D. Ududo,,10:19,2,0-1,0,0-1,0,0-0,0,2-4,50,4,2,6,0,2,0,1,2,5,-2
11,C. Briones,,07:24,2,1-5,20,1-2,50,0-3,0,0-0,0,0,0,0,0,0,0,0,1,0,-10
5,D. Walker,,03:08,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,6
,starters ,,,,,,,,,,,,,,,,,,,,,
12,J. Cagulangan,,23:59,9,4-14,28.6,4-10,40,0-4,0,1-1,100,2,0,2,7,0,2,0,0,3,11
17,F. Lopez,,17:47,6,2-7,28.6,2-3,66.7,0-4,0,2-2,100,1,3,4,2,4,1,2,3,1,-8
8,J. Bayla,,10:41,3,1-1,100,0-0,0,1-1,100,0-0,0,1,1,2,0,1,1,0,3,0,-4
19,G. Abadiano,,18:49,0,0-3,0,0-1,0,0-2,0,0-0,0,0,0,0,1,2,0,0,2,1,0
55,G. Stevens,,01:34,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-1
,,,,,,,,,,,,,,,,,,,,,,
3,M. Montebon,,20:32,12,3-11,27.3,1-2,50,2-9,22.2,4-5,80,0,3,3,2,3,0,1,0,3,-7
22,J. Calisay,,18:17,12,3-7,42.9,1-4,25,2-3,66.7,4-5,80,1,3,4,0,0,2,1,3,3,4
27,A. Fransman,,17:52,5,1-7,14.3,0-4,0,1-3,33.3,2-2,100,3,5,8,0,1,0,1,1,2,-2
6,J. Yerro,,17:55,2,1-5,20,1-4,25,0-1,0,0-0,0,2,0,2,0,1,1,0,2,0,-15
5,C. Alexander,,07:31,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,2,2,1,0,0,0,-2
32,A. Ronzone,,04:03,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,2,0,0,0,0,0,1
9,M. Barasi Jr,,10:29,0,0-1,0,0-1,0,0-0,0,0-0,0,1,1,2,1,0,0,1,2,0,6
1,E. Ramos,,10:05,0,0-3,0,0-2,0,0-1,0,0-0,0,0,0,0,1,0,0,1,2,0,6
,starters ,,,,,,,,,,,,,,,,,,,,,
18,M. Erolon,,17:38,8,3-9,33.3,1-3,33.3,2-6,33.3,0-0,0,0,1,1,2,1,0,0,1,3,-1
20,M. Anabo,,23:22,6,2-5,40,0-1,0,2-4,50,0-0,0,1,5,6,1,1,1,0,2,1,-14
23,M. Ojarikre,,19:55,6,2-4,50,2-4,50,0-0,0,2-4,50,6,0,6,0,1,0,0,3,3,-10
10,C. Manzano,,23:21,4,1-5,20,1-5,20,0-0,0,2-4,50,2,4,6,1,5,0,1,3,4,-20
13,R. Mantua,,08:53,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,0,0,2,2,0,0,5,0,-6
