NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Bautista,,33:12,18,7-16,43.8,6-12,50,1-4,25,3-4,75,0,5,5,1,0,1,0,3,3,6
18,R. Alforque,,19:44,12,3-8,37.5,3-8,37.5,0-0,0,6-11,54.5,0,5,5,1,1,2,0,0,9,3
10,R. Montemayor,,24:52,4,1-4,25,1-2,50,0-2,0,2-2,100,0,2,2,0,1,0,1,3,0,11
27,M. Ona,,07:34,0,0-2,0,0-2,0,0-0,0,0-0,0,1,1,2,0,0,0,0,2,0,-7
15,A. Bagunu,,03:19,0,0-2,0,0-2,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-3
11,J. Jones,,01:10,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
,starters ,,,,,,,,,,,,,,,,,,,,,
35,M. Konateh,,41:39,10,4-5,80,4-5,80,0-0,0,2-2,100,7,11,18,1,3,0,1,2,3,5
13,J. Pasaol,,32:29,10,4-11,36.4,4-6,66.7,0-5,0,2-4,50,0,8,8,1,4,2,0,1,4,-6
51,V. Pre,,39:49,10,4-7,57.1,4-6,66.7,0-1,0,2-2,100,2,8,10,0,3,0,1,3,2,4
5,J. Daa,,11:31,2,1-5,20,1-2,50,0-3,0,0-0,0,0,2,2,1,3,0,0,2,0,-5
21,A. Nakai,,09:36,0,0-2,0,0-1,0,0-1,0,0-0,0,0,1,1,0,1,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,
6,C. Koon,,33:47,12,4-12,33.3,1-5,20,3-7,42.9,1-2,50,1,3,4,3,0,0,0,1,1,-2
9,J. Bahay,,27:12,11,4-13,30.8,3-3,100,1-10,10,2-3,66.7,0,3,3,7,1,1,0,3,1,6
25,K. Porter,,31:52,11,3-14,21.4,0-4,0,3-10,30,2-3,66.7,0,9,9,1,0,1,1,2,1,0
24,S. Quitevis,,31:01,9,3-3,100,2-2,100,1-1,100,2-2,100,1,2,3,3,2,0,0,4,1,-6
16,J. Lazaro,,31:46,6,2-9,22.2,1-7,14.3,1-2,50,1-4,25,2,3,5,0,1,1,0,2,3,-2
,bench ,,,,,,,,,,,,,,,,,,,,,
10,S. Tuano,,12:47,6,2-5,40,1-4,25,1-1,100,1-4,25,0,1,1,2,2,1,0,2,2,-3
2,K. Gamber,,05:38,6,2-6,33.3,0-1,0,2-5,40,0-0,0,0,2,2,0,1,0,0,1,0,7
7,I. Espinosa,,17:47,3,1-4,25,0-1,0,1-3,33.3,0-0,0,1,1,2,2,0,0,1,1,2,-7
14,A. Balogun,,06:24,1,0-4,0,0-3,0,0-1,0,1-2,50,2,3,5,0,0,1,0,0,1,-3
3,A. Bongo,,13:13,0,0-3,0,0-1,0,0-2,0,0-1,0,2,1,3,1,0,1,0,2,2,1
22,K. Ong,,06:42,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,2,2,0,2
19,W. Espina,,06:45,0,0-2,0,0-1,0,0-1,0,0-2,0,1,0,1,0,1,0,0,1,2,2
