NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
35,P. Momowei,,40:00,18,7-14,50,7-14,50,0-0,0,4-12,33.3,3,12,15,3,7,1,1,1,11,7
11,J. Abate,,25:24,9,1-4,25,1-2,50,0-2,0,7-10,70,1,4,5,2,1,1,0,4,7,-12
2,J. Cruz-Dumont,,19:40,8,2-3,66.7,0-1,0,2-2,100,2-2,100,1,3,4,2,3,0,0,3,1,-5
12,D. Fikes,,32:29,7,2-5,40,1-2,50,1-3,33.3,2-2,100,1,5,6,2,4,0,0,2,1,11
1,N. Mulingtapang,,20:11,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,0,0,4,0,0,0,4,1,10
,bench ,,,,,,,,,,,,,,,,,,,,,
7,W. Lingolingo,,19:15,13,4-5,80,1-1,100,3-4,75,2-2,100,0,2,2,1,3,3,0,3,3,11
23,R. Maga,,22:43,8,3-6,50,1-2,50,2-4,50,0-0,0,0,3,3,3,0,1,0,1,2,9
29,G. Wilson,,15:11,2,1-5,20,1-4,25,0-1,0,0-0,0,0,1,1,2,0,0,0,0,1,5
10,H. Cruz-Dumont,,05:05,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,1,0,2,0,-1
,,,,,,,,,,,,,,,,,,,,,,
16,J. Lazaro,,20:22,14,6-9,66.7,4-7,57.1,2-2,100,0-0,0,1,6,7,1,1,0,0,3,2,-19
10,S. Tuano,,20:10,14,6-10,60,5-9,55.6,1-1,100,1-1,100,2,1,3,0,1,1,0,3,3,-3
9,J. Bahay,,20:49,12,4-14,28.6,1-3,33.3,3-11,27.3,1-4,25,0,1,1,6,1,0,0,2,3,8
14,A. Balogun,,18:34,6,3-3,100,3-3,100,0-0,0,0-1,0,3,3,6,0,2,1,0,3,3,1
19,W. Espina,,04:41,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,1,1,0,0,1,0,1
2,K. Gamber,,03:12,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-12
,starters ,,,,,,,,,,,,,,,,,,,,,
3,A. Bongo,,23:09,7,2-8,25,1-1,100,1-7,14.3,2-2,100,1,2,3,3,2,1,0,1,1,14
25,K. Porter,,16:24,6,2-4,50,0-0,0,2-4,50,0-2,0,1,3,4,1,2,3,0,3,2,-7
7,I. Espinosa,,15:11,2,1-4,25,1-2,50,0-2,0,0-0,0,0,1,1,1,2,1,0,4,0,-2
6,C. Koon,,30:05,1,0-8,0,0-1,0,0-7,0,1-2,50,0,2,2,5,0,1,0,3,4,-4
24,S. Quitevis,,27:18,0,0-2,0,0-1,0,0-1,0,0-0,0,1,1,2,1,2,0,0,3,1,-12
