NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Bautista,,28:53,17,7-14,50,6-10,60,1-4,25,2-2,100,1,2,3,2,0,1,0,0,3,-4
18,R. Alforque,,16:14,4,1-2,50,1-2,50,0-0,0,2-2,100,1,5,6,4,2,1,0,1,3,-6
10,R. Montemayor,,16:58,3,1-6,16.7,0-1,0,1-5,20,0-0,0,1,0,1,0,0,1,0,1,0,-1
27,M. Ona,,07:54,0,0-0,0,0-0,0,0-0,0,0-0,0,1,2,3,0,0,0,1,2,0,-2
21,A. Nakai,,06:14,0,0-3,0,0-0,0,0-3,0,0-0,0,1,1,2,0,0,0,0,1,0,0
15,A. Bagunu,,02:57,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,1,0,-5
,starters ,,,,,,,,,,,,,,,,,,,,,
51,V. Pre,,33:04,14,4-14,28.6,3-9,33.3,1-5,20,5-6,83.3,1,6,7,2,3,0,1,3,5,-8
13,J. Pasaol,,27:51,13,4-12,33.3,2-7,28.6,2-5,40,3-4,75,1,2,3,3,2,0,0,2,2,-8
5,J. Daa,,21:43,11,5-8,62.5,5-6,83.3,0-2,0,1-1,100,0,4,4,2,1,1,0,3,1,-3
35,M. Konateh,,35:08,10,5-7,71.4,5-6,83.3,0-1,0,0-1,0,3,8,11,1,3,0,5,3,5,-11
11,J. Jones,,03:00,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,-7
,,,,,,,,,,,,,,,,,,,,,,
36,M. Tounkara,,30:37,21,9-18,50,8-15,53.3,1-3,33.3,2-2,100,6,11,17,1,1,1,0,2,4,22
11,F. Padrigao,,24:23,14,5-10,50,3-3,100,2-7,28.6,2-2,100,1,3,4,11,2,0,0,4,3,21
9,N. Cabanero,,29:27,13,6-21,28.6,6-19,31.6,0-2,0,1-2,50,6,0,6,2,0,1,0,2,3,5
10,G. Crisostomo,,23:05,11,5-8,62.5,4-7,57.1,1-1,100,0-1,0,1,4,5,0,0,1,0,2,1,6
12,G. Danting,,09:50,2,1-3,33.3,1-1,100,0-2,0,0-0,0,0,1,1,0,0,0,0,0,0,13
,bench ,,,,,,,,,,,,,,,,,,,,,
4,C. Manaytay,,19:06,11,3-4,75,2-3,66.7,1-1,100,4-4,100,3,1,4,1,0,0,0,1,3,0
5,C. Lane,,09:33,5,1-3,33.3,0-2,0,1-1,100,2-2,100,0,0,0,1,0,0,0,1,1,7
14,M. Llemit,,17:56,2,1-6,16.7,1-5,20,0-1,0,0-2,0,0,4,4,1,1,0,0,1,1,4
2,I. Calum,,11:43,2,1-3,33.3,1-2,50,0-1,0,0-0,0,2,2,4,0,0,1,0,4,1,-5
20,A. Acido,,08:02,2,1-3,33.3,1-1,100,0-2,0,0-0,0,0,2,2,0,0,0,0,1,0,-2
3,K. Paranada,,04:02,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,1,2,0,0,0,0,-5
17,M. Pangilinan,,07:09,0,0-2,0,0-0,0,0-2,0,0-0,0,0,2,2,0,0,0,0,1,1,-6
1,L. Estacio,,05:00,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,-5
