NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
3,A. Bongo,,23:21,17,6-12,50,1-2,50,5-10,50,0-0,0,2,2,4,1,0,1,1,3,2,-7
9,J. Bahay,,23:55,15,5-16,31.3,2-6,33.3,3-10,30,2-3,66.7,1,1,2,4,0,1,0,0,3,-6
6,C. Koon,,19:44,2,1-8,12.5,1-5,20,0-3,0,0-1,0,1,1,2,2,2,0,0,4,2,-19
24,S. Quitevis,,20:00,2,1-2,50,1-1,100,0-1,0,0-0,0,1,1,2,0,0,0,0,4,1,-13
25,K. Porter,,17:53,0,0-1,0,0-1,0,0-0,0,0-0,0,1,0,1,1,0,0,0,2,0,-7
,bench ,,,,,,,,,,,,,,,,,,,,,
16,J. Lazaro,,16:47,7,3-6,50,3-5,60,0-1,0,1-1,100,2,4,6,3,1,2,2,2,2,-3
2,K. Gamber,,16:00,7,2-6,33.3,0-2,0,2-4,50,1-1,100,0,2,2,0,0,0,0,2,0,4
14,A. Balogun,,13:28,6,1-5,20,1-4,25,0-1,0,4-5,80,3,3,6,0,0,0,0,0,4,-2
10,S. Tuano,,19:10,5,2-4,50,2-3,66.7,0-1,0,1-1,100,0,1,1,1,4,0,0,3,3,8
7,I. Espinosa,,16:04,4,0-2,0,0-1,0,0-1,0,4-4,100,0,2,2,1,0,1,0,3,4,-4
19,W. Espina,,06:02,2,1-3,33.3,1-1,100,0-2,0,0-0,0,0,0,0,0,0,1,0,1,0,-2
22,K. Ong,,07:31,1,0-1,0,0-1,0,0-0,0,1-2,50,1,3,4,0,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,
77,K. Padrones,,27:09,18,7-12,58.3,7-10,70,0-2,0,4-4,100,2,4,6,0,0,0,0,1,4,2
20,J. Figueroa,,33:27,15,4-7,57.1,3-5,60,1-2,50,6-6,100,0,7,7,4,4,0,0,2,4,13
13,S. Enriquez,,20:46,9,3-5,60,2-2,100,1-3,33.3,2-2,100,0,0,0,2,1,0,0,2,1,16
21,K. Perciano,,13:54,3,1-1,100,1-1,100,0-0,0,1-2,50,2,3,5,1,2,0,0,2,1,12
12,P. Yu,,15:31,0,0-3,0,0-2,0,0-1,0,0-0,0,0,5,5,1,0,0,0,0,0,10
,bench ,,,,,,,,,,,,,,,,,,,,,
10,I. Manansala,,24:00,8,4-5,80,4-5,80,0-0,0,0-0,0,0,3,3,2,0,0,0,2,5,8
4,T. Garcia,,07:07,7,2-3,66.7,2-3,66.7,0-0,0,3-4,75,0,0,0,0,2,0,0,3,2,-7
7,P. Francisco,,05:56,6,2-3,66.7,0-1,0,2-2,100,0-0,0,0,1,1,1,1,0,1,1,0,1
44,R. Jumamoy,,11:14,4,1-6,16.7,0-3,0,1-3,33.3,1-1,100,0,0,0,2,0,0,0,2,1,2
5,P. Palacielo,,14:16,4,2-4,50,2-4,50,0-0,0,0-0,0,1,2,3,0,1,0,1,4,2,-4
25,E. Dela Cruz,,05:17,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,3
11,D. Lim,,16:31,1,0-0,0,0-0,0,0-0,0,1-3,33.3,0,3,3,1,1,0,0,2,3,1
16,G. Santiago,,04:36,1,0-2,0,0-1,0,0-1,0,1-2,50,1,1,2,0,0,0,0,1,1,-5
22,B. Parks,,00:11,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
