NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,M. Montebon,,23:55,12,5-9,55.6,3-5,60,2-4,50,0-0,0,0,2,2,4,4,0,0,3,1,-7
6,J. Yerro,,23:03,7,3-7,42.9,2-3,66.7,1-4,25,0-0,0,0,3,3,4,1,1,0,2,1,-5
22,J. Calisay,,23:04,6,2-5,40,0-2,0,2-3,66.7,0-0,0,0,5,5,4,3,0,0,1,0,12
27,A. Fransman,,06:39,5,2-2,100,1-1,100,1-1,100,0-0,0,0,1,1,0,0,0,0,0,0,1
9,M. Barasi Jr,,12:11,0,0-0,0,0-0,0,0-0,0,0-0,0,1,3,4,1,0,1,0,2,1,6
11,J. Barcelona,,02:04,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,0,5
12,F. Dignadice,,00:20,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,3
1,E. Ramos,,07:35,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,2,0,0,2,0,-11
8,A. Ignacio,,02:18,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-3
,starters ,,,,,,,,,,,,,,,,,,,,,
18,M. Erolon,,19:16,11,4-7,57.1,1-2,50,3-5,60,0-0,0,0,3,3,1,1,1,0,0,0,3
10,C. Manzano,,23:34,9,2-8,25,2-8,25,0-0,0,5-8,62.5,4,2,6,2,2,1,1,1,4,-6
13,R. Mantua,,25:27,9,2-7,28.6,1-4,25,1-3,33.3,4-4,100,0,3,3,1,2,0,0,3,2,1
20,M. Anabo,,12:16,2,0-2,0,0-0,0,0-2,0,2-2,100,0,2,2,0,1,0,0,1,1,-2
23,M. Ojarikre,,18:12,1,0-0,0,0-0,0,0-0,0,1-4,25,0,5,5,0,0,0,7,2,3,-2
,,,,,,,,,,,,,,,,,,,,,,
35,P. Momowei,,39:37,14,6-17,35.3,5-14,35.7,1-3,33.3,1-7,14.3,4,7,11,1,6,3,1,3,8,4
12,D. Fikes,,23:02,11,4-11,36.4,1-3,33.3,3-8,37.5,0-0,0,0,3,3,1,0,0,1,2,1,-2
2,J. Cruz-Dumont,,32:13,8,3-10,30,1-5,20,2-5,40,0-0,0,2,3,5,2,1,2,2,1,0,0
1,N. Mulingtapang,,20:43,4,1-4,25,1-3,33.3,0-1,0,2-2,100,1,1,2,4,0,0,0,0,1,3
11,J. Abate,,18:01,2,0-2,0,0-2,0,0-0,0,2-2,100,1,0,1,1,1,0,0,0,2,-5
,bench ,,,,,,,,,,,,,,,,,,,,,
7,W. Lingolingo,,24:10,10,4-7,57.1,3-5,60,1-2,50,1-2,50,2,3,5,0,0,3,0,2,2,6
0,E. Galang,,18:15,10,4-4,100,2-2,100,2-2,100,0-0,0,1,4,5,0,0,0,0,1,3,3
23,R. Maga,,16:14,4,2-5,40,2-5,40,0-0,0,0-0,0,1,2,3,3,1,0,0,3,1,-3
29,G. Wilson,,05:15,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,0,-4
22,K. Spandonis,,02:03,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,6
10,H. Cruz-Dumont,,00:22,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
