NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
28,K. Quiambao,,32:12,20,6-18,33.3,2-9,22.2,4-9,44.4,4-5,80,0,10,10,3,1,1,1,0,5,14
5,V. David,,21:53,14,5-8,62.5,1-2,50,4-6,66.7,0-0,0,1,6,7,2,2,0,0,4,0,16
1,J. Macalalag,,23:19,7,3-7,42.9,2-4,50,1-3,33.3,0-0,0,2,1,3,1,1,0,1,3,0,4
12,E. Abadam,,19:40,5,2-7,28.6,1-4,25,1-3,33.3,0-0,0,2,3,5,0,2,0,0,4,0,7
21,H. Agunanne,,12:10,2,1-3,33.3,1-3,33.3,0-0,0,0-2,0,0,1,1,2,3,0,0,2,1,8
,bench ,,,,,,,,,,,,,,,,,,,,,
11,L. Ramiro,,17:14,5,2-5,40,1-3,33.3,1-2,50,0-0,0,1,3,4,2,1,1,0,1,0,-4
2,V. Marasigan,,13:18,5,1-5,20,1-5,20,0-0,0,3-3,100,3,0,3,0,1,1,0,3,4,10
25,M. Phillips,,23:34,4,1-8,12.5,1-8,12.5,0-0,0,2-6,33.3,3,5,8,4,1,2,1,3,5,3
32,E. Gollena,,13:49,4,2-2,100,2-2,100,0-0,0,0-0,0,0,3,3,1,0,0,0,2,1,8
16,C. Austria,,19:50,2,0-4,0,0-3,0,0-1,0,2-2,100,0,1,1,2,3,0,0,2,3,-6
6,R. Gonzales,,02:58,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,
18,H. Alarcon,,28:18,19,8-16,50,8-12,66.7,0-4,0,3-4,75,0,5,5,1,4,3,0,1,5,3
17,F. Lopez,,19:59,8,3-7,42.9,3-5,60,0-2,0,2-6,33.3,0,7,7,1,3,0,1,4,5,-14
2,R. Torres,,19:13,6,1-8,12.5,1-6,16.7,0-2,0,4-4,100,0,2,2,2,1,0,0,3,3,-13
10,T. Fortea,,14:29,5,1-5,20,0-1,0,1-4,25,2-2,100,0,0,0,0,2,1,1,0,2,-11
55,G. Stevens,,07:13,0,0-2,0,0-2,0,0-0,0,0-2,0,2,2,4,0,2,1,1,2,1,-7
24,S. Torculas,,09:10,0,0-2,0,0-1,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,-7
88,D. Ududo,,01:32,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,0
,starters ,,,,,,,,,,,,,,,,,,,,,
42,Q. Millora-Brown,,31:01,10,4-5,80,4-4,100,0-1,0,2-2,100,5,5,10,1,2,1,4,2,3,-5
13,M. Belmonte,,11:02,5,2-4,50,1-2,50,1-2,50,0-0,0,0,4,4,1,0,0,0,4,0,9
19,G. Abadiano,,23:56,2,1-6,16.7,1-5,20,0-1,0,0-2,0,0,2,2,1,1,0,0,0,3,-5
8,J. Bayla,,17:53,1,0-2,0,0-2,0,0-0,0,1-4,25,3,2,5,2,0,1,0,0,2,-8
20,J. Felicilda,,16:09,0,0-3,0,0-0,0,0-3,0,0-0,0,0,3,3,0,1,1,0,1,1,-2
