NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
36,M. Tounkara,,31:38,24,10-17,58.8,8-12,66.7,2-5,40,2-3,66.7,4,5,9,1,4,0,0,1,3,-5
11,F. Padrigao,,30:30,5,2-11,18.2,1-4,25,1-7,14.3,0-0,0,1,0,1,6,3,4,0,2,0,-13
14,M. Llemit,,17:43,5,2-6,33.3,1-2,50,1-4,25,0-0,0,3,2,5,1,0,2,0,0,0,-11
12,G. Danting,,11:00,4,1-2,50,0-0,0,1-2,50,1-2,50,0,0,0,0,2,1,0,0,1,-1
10,G. Crisostomo,,22:23,0,0-4,0,0-4,0,0-0,0,0-2,0,2,1,3,1,1,0,2,1,1,-5
,bench ,,,,,,,,,,,,,,,,,,,,,
9,N. Cabanero,,26:52,17,7-14,50,6-9,66.7,1-5,20,2-3,66.7,4,5,9,0,0,0,0,2,6,-13
4,C. Manaytay,,20:35,12,4-11,36.4,1-6,16.7,3-5,60,1-3,33.3,1,1,2,3,0,2,0,2,4,-7
23,G. Robinson,,08:44,4,1-3,33.3,1-2,50,0-1,0,2-2,100,1,0,1,0,1,0,0,2,2,-6
20,A. Acido,,14:13,2,0-4,0,0-1,0,0-3,0,2-2,100,0,0,0,0,0,1,0,0,0,4
2,I. Calum,,04:14,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,1,0,0,0,0,0,7
3,K. Paranada,,02:31,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,1,0,0,0,1,0,3
21,Z. Mahmood,,00:56,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-2
17,M. Pangilinan,,02:45,0,0-2,0,0-0,0,0-2,0,0-0,0,1,0,1,0,0,0,0,1,1,4
5,C. Lane,,04:09,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,1,0,0
29,E. Laure,,01:41,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,3,0,-5
,,,,,,,,,,,,,,,,,,,,,,
17,F. Lopez,,25:05,20,8-9,88.9,5-5,100,3-4,75,1-2,50,0,7,7,2,1,0,0,3,2,10
18,H. Alarcon,,19:30,11,5-10,50,5-8,62.5,0-2,0,1-1,100,0,2,2,1,0,2,0,3,1,10
42,Q. Millora-Brown,,25:05,10,5-7,71.4,5-6,83.3,0-1,0,0-0,0,1,5,6,0,5,0,3,1,2,5
8,J. Bayla,,20:30,4,1-4,25,1-2,50,0-2,0,2-2,100,2,1,3,1,0,1,0,2,1,-3
20,J. Felicilda,,19:46,0,0-2,0,0-2,0,0-0,0,0-0,0,0,4,4,4,1,1,0,1,1,8
,bench ,,,,,,,,,,,,,,,,,,,,,
10,T. Fortea,,21:58,16,5-8,62.5,1-3,33.3,4-5,80,2-2,100,1,1,2,3,2,0,0,0,1,7
12,J. Cagulangan,,15:45,9,3-6,50,2-2,100,1-4,25,2-2,100,0,1,1,4,4,2,0,0,2,7
2,R. Torres,,19:06,4,1-6,16.7,1-4,25,0-2,0,2-2,100,1,2,3,5,2,1,0,3,3,5
88,D. Ududo,,11:30,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,2,2,4,0,2,0,1,3,3,1
13,M. Belmonte,,10:04,3,1-1,100,0-0,0,1-1,100,0-0,0,0,3,3,0,2,0,0,2,0,8
55,G. Stevens,,03:17,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,4
24,S. Torculas,,05:16,0,0-2,0,0-2,0,0-0,0,0-0,0,1,3,4,0,1,0,0,0,0,-8
11,C. Briones,,03:02,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-4
