NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
28,K. Quiambao,,32:51,29,10-17,58.8,6-11,54.5,4-6,66.7,5-5,100,2,7,9,3,3,1,0,2,4,7
32,E. Gollena,,18:20,8,2-6,33.3,1-3,33.3,1-3,33.3,3-3,100,1,1,2,2,1,1,0,2,4,13
21,H. Agunanne,,16:51,7,2-4,50,1-3,33.3,1-1,100,2-4,50,1,3,4,0,3,0,1,3,3,4
1,J. Macalalag,,15:40,6,2-4,50,0-2,0,2-2,100,0-0,0,1,0,1,2,1,1,1,1,0,18
5,V. David,,26:03,3,0-3,0,0-0,0,0-3,0,3-4,75,0,6,6,6,0,2,0,3,1,9
,bench ,,,,,,,,,,,,,,,,,,,,,
25,M. Phillips,,25:09,16,5-9,55.6,4-5,80,1-4,25,5-9,55.6,3,10,13,1,3,1,0,3,5,4
6,R. Gonzales,,11:27,11,4-5,80,3-4,75,1-1,100,2-2,100,2,2,4,1,1,0,2,2,1,4
16,C. Austria,,17:23,6,3-6,50,3-4,75,0-2,0,0-0,0,1,1,2,3,4,0,1,1,0,-14
19,D. Dungo,,15:33,6,2-6,33.3,0-2,0,2-4,50,0-0,0,1,1,2,1,3,0,0,0,0,3
2,V. Marasigan,,13:05,2,0-3,0,0-2,0,0-1,0,2-2,100,0,3,3,1,1,2,0,2,2,-11
11,L. Ramiro,,17:21,0,0-3,0,0-2,0,0-1,0,0-0,0,0,3,3,3,3,0,1,2,1,3
12,E. Abadam,,05:56,0,0-1,0,0-0,0,0-1,0,0-0,0,0,2,2,0,1,0,0,2,0,7
26,M. Rubico,,03:47,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,1,0,0,1,0,-7
47,A. Konov,,05:29,0,0-2,0,0-1,0,0-1,0,0-0,0,0,1,1,0,1,0,0,0,2,-5
,,,,,,,,,,,,,,,,,,,,,,
9,N. Cabanero,,36:00,23,10-13,76.9,10-11,90.9,0-2,0,3-8,37.5,3,9,12,3,5,3,0,2,6,6
17,M. Pangilinan,,26:43,10,3-9,33.3,0-2,0,3-7,42.9,1-1,100,1,4,5,2,3,2,0,2,0,-2
3,K. Paranada,,21:03,8,3-7,42.9,1-2,50,2-5,40,0-2,0,1,2,3,3,0,2,0,0,2,-1
4,C. Manaytay,,24:11,7,2-8,25,2-7,28.6,0-1,0,3-4,75,2,2,4,1,2,1,0,5,3,9
1,L. Estacio,,18:12,3,1-3,33.3,1-1,100,0-2,0,1-1,100,1,2,3,1,1,2,0,3,1,0
23,G. Robinson,,02:13,2,1-2,50,1-2,50,0-0,0,0-1,0,0,1,1,0,1,0,0,0,1,0
21,Z. Mahmood,,03:55,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,2
5,C. Lane,,03:54,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,1,0,0,0,1
20,A. Acido,,06:39,0,0-3,0,0-0,0,0-3,0,0-0,0,0,0,0,0,0,1,0,0,0,2
,starters ,,,,,,,,,,,,,,,,,,,,,
11,F. Padrigao,,33:32,15,5-14,35.7,3-5,60,2-9,22.2,3-4,75,1,2,3,2,1,3,0,1,5,-4
36,M. Tounkara,,24:04,14,5-14,35.7,2-8,25,3-6,50,1-3,33.3,1,7,8,0,3,0,0,5,3,-17
14,M. Llemit,,19:04,3,1-5,20,0-3,0,1-2,50,0-0,0,2,1,3,3,1,0,0,3,1,-20
10,G. Crisostomo,,03:06,2,0-0,0,0-0,0,0-0,0,2-2,100,0,0,0,0,1,0,0,4,1,-3
12,G. Danting,,02:17,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,-8
