NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,A. Bongo,,23:32,14,5-11,45.5,2-5,40,3-6,50,1-1,100,1,6,7,1,0,2,0,1,1,21
7,I. Espinosa,,21:00,11,4-9,44.4,2-5,40,2-4,50,1-2,50,1,5,6,2,2,1,0,0,6,17
10,S. Tuano,,25:05,10,4-13,30.8,4-9,44.4,0-4,0,2-2,100,0,1,1,1,2,1,0,1,1,3
14,A. Balogun,,14:35,9,1-4,25,1-4,25,0-0,0,7-9,77.8,5,2,7,0,1,0,0,1,5,11
21,F. Edu,,01:31,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,1,0,1
19,W. Espina,,05:37,0,0-2,0,0-1,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,2
,starters ,,,,,,,,,,,,,,,,,,,,,
6,C. Koon,,25:47,10,4-9,44.4,3-6,50,1-3,33.3,1-2,50,1,3,4,3,0,2,0,2,2,1
9,J. Bahay,,19:30,8,3-10,30,2-7,28.6,1-3,33.3,1-2,50,0,1,1,1,2,0,0,4,1,-11
25,K. Porter,,25:12,3,1-7,14.3,1-5,20,0-2,0,1-4,25,5,4,9,2,0,1,0,2,2,-9
24,S. Quitevis,,23:11,2,1-4,25,1-4,25,0-0,0,0-0,0,1,2,3,2,0,3,0,3,2,-4
16,J. Lazaro,,14:56,0,0-2,0,0-2,0,0-0,0,0-2,0,3,2,5,0,0,0,0,2,1,-17
,,,,,,,,,,,,,,,,,,,,,,
9,N. Cabanero,,33:26,18,5-16,31.3,4-10,40,1-6,16.7,7-7,100,0,6,6,1,1,1,0,5,5,8
1,L. Estacio,,16:49,8,3-9,33.3,1-2,50,2-7,28.6,0-0,0,0,2,2,2,3,0,1,2,1,2
3,K. Paranada,,13:43,6,2-4,50,2-3,66.7,0-1,0,2-2,100,0,3,3,4,1,0,0,2,1,-10
29,E. Laure,,10:27,6,3-4,75,3-4,75,0-0,0,0-0,0,1,4,5,1,1,0,0,2,0,0
10,G. Crisostomo,,30:45,5,2-5,40,1-3,33.3,1-2,50,0-0,0,7,9,16,3,1,0,3,3,2,3
23,G. Robinson,,10:04,2,0-1,0,0-0,0,0-1,0,2-2,100,1,2,3,3,0,0,0,0,1,10
20,A. Acido,,02:44,0,0-3,0,0-2,0,0-1,0,0-0,0,1,0,1,0,0,0,0,0,0,-8
21,Z. Mahmood,,02:06,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,4
,starters ,,,,,,,,,,,,,,,,,,,,,
4,C. Manaytay,,25:25,11,5-10,50,4-8,50,1-2,50,0-1,0,0,3,3,0,5,1,1,3,1,-1
11,F. Padrigao,,29:04,8,3-7,42.9,2-2,100,1-5,20,1-2,50,1,2,3,5,2,1,0,1,4,0
17,M. Pangilinan,,10:54,0,0-3,0,0-0,0,0-3,0,0-0,0,1,2,3,0,2,0,1,1,0,-10
12,G. Danting,,02:37,0,0-0,0,0-0,0,0-0,0,0-0,0,0,2,2,0,0,0,0,0,1,-7
14,M. Llemit,,11:50,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,1,0,0,2,1,-6
