NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
10,C. Manzano,,23:27,14,4-8,50,4-8,50,0-0,0,6-10,60,2,2,4,3,1,3,0,1,6,-17
18,M. Erolon,,15:01,5,2-4,50,1-2,50,1-2,50,0-0,0,0,2,2,2,3,1,0,1,3,-2
23,M. Ojarikre,,28:19,3,1-4,25,1-4,25,0-0,0,1-4,25,4,6,10,0,4,1,3,2,2,-11
6,J. Yerro,,10:38,2,1-2,50,1-2,50,0-0,0,0-0,0,0,2,2,0,1,0,0,3,0,-6
13,R. Mantua,,16:11,2,1-5,20,1-4,25,0-1,0,0-0,0,1,1,2,0,3,0,0,1,1,1
,bench ,,,,,,,,,,,,,,,,,,,,,
27,A. Fransman,,23:38,8,3-8,37.5,1-3,33.3,2-5,40,0-1,0,0,6,6,0,3,0,0,1,2,-21
1,E. Ramos,,07:36,4,2-4,50,2-4,50,0-0,0,0-2,0,1,0,1,0,0,1,0,0,1,-9
20,M. Anabo,,08:26,3,1-4,25,1-1,100,0-3,0,1-2,50,1,0,1,1,0,0,0,1,1,-5
3,M. Montebon,,20:53,2,1-5,20,1-4,25,0-1,0,0-0,0,0,0,0,1,0,3,0,0,0,-21
8,A. Ignacio,,04:31,2,1-2,50,1-2,50,0-0,0,0-0,0,1,0,1,0,1,0,0,1,0,-1
9,M. Barasi Jr,,04:42,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,1,0,-10
32,A. Ronzone,,05:01,0,0-2,0,0-2,0,0-0,0,0-2,0,0,2,2,0,0,1,0,0,1,-2
22,J. Calisay,,17:17,0,0-4,0,0-0,0,0-4,0,0-0,0,0,2,2,0,2,1,0,1,2,-12
11,J. Barcelona,,04:19,0,0-0,0,0-0,0,0-0,0,0-0,0,1,1,2,0,0,0,0,0,0,-2
5,C. Alexander,,05:36,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,-5
12,F. Dignadice,,04:19,0,0-1,0,0-1,0,0-0,0,0-2,0,0,0,0,0,0,0,0,2,2,-2
,,,,,,,,,,,,,,,,,,,,,,
28,K. Quiambao,,24:43,17,6-11,54.5,4-7,57.1,2-4,50,3-3,100,0,6,6,3,2,0,0,1,2,24
5,V. David,,21:59,11,4-5,80,1-1,100,3-4,75,0-0,0,0,3,3,4,2,1,0,1,0,26
21,H. Agunanne,,14:30,8,3-6,50,3-6,50,0-0,0,2-3,66.7,3,3,6,0,3,0,0,4,4,12
32,E. Gollena,,14:49,5,1-3,33.3,0-0,0,1-3,33.3,2-2,100,0,0,0,1,0,1,0,1,1,13
1,J. Macalalag,,13:36,2,0-2,0,0-1,0,0-1,0,2-2,100,0,1,1,1,1,0,0,0,1,2
,bench ,,,,,,,,,,,,,,,,,,,,,
6,R. Gonzales,,12:36,8,3-6,50,3-5,60,0-1,0,2-2,100,1,4,5,0,2,2,1,1,1,4
16,C. Austria,,16:05,6,2-5,40,1-2,50,1-3,33.3,1-1,100,1,0,1,5,1,1,0,2,1,23
47,A. Konov,,08:28,3,1-1,100,0-0,0,1-1,100,0-0,0,0,2,2,0,1,0,0,2,0,3
19,D. Dungo,,11:10,3,1-3,33.3,0-0,0,1-3,33.3,0-0,0,0,1,1,0,1,0,0,0,0,1
30,I. Phillips,,05:02,3,1-1,100,0-0,0,1-1,100,0-0,0,0,1,1,0,0,0,0,1,0,0
25,M. Phillips,,18:08,2,1-6,16.7,1-3,33.3,0-3,0,0-0,0,0,3,3,2,3,3,2,0,0,12
64,E. Alian,,07:57,2,1-1,100,1-1,100,0-0,0,0-0,0,0,1,1,2,2,0,0,1,2,3
11,L. Ramiro,,16:59,0,0-3,0,0-2,0,0-1,0,0-0,0,0,5,5,4,1,0,0,3,1,8
2,V. Marasigan,,08:48,0,0-3,0,0-2,0,0-1,0,0-0,0,1,1,2,1,1,0,0,3,1,-6
26,M. Rubico,,05:02,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,1,1,0,0,1,1,0
