,TEAM,MPG,PER,EFF,EWA,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,TOR,PPR,USG%
K. Quiambao,DLSU,30.629166666675,28.21307173143043,19.0,1.0601697371291863,13.675000000000004,49.08552985476062,46.21212121212121,0.9730089970009996,0.2878787878787879,12.696685258238055,6.603091530769069,18.65635384883959,0.06044896643216383,0.03679502304566494,1.0356689052774293,29.673235914894732
M. Phillips,DLSU,21.816666666675,28.56166225598147,16.25,0.7702764806994566,10.049999999999999,44.72076788830715,42.68292682926829,0.8869659275283936,0.2682926829268293,20.881079704601138,14.42047707744447,27.199691065226894,0.03320858247405162,0.03689842497116846,-4.362033301772465,26.327001410791596
D. Dungo,DLSU,12.412499999975,28.457715445552708,7.75,0.43567789645270055,5.574999999999999,79.31472081218274,75.0,1.572327044025157,0.2857142857142857,7.161239789653005,5.431277368557054,8.853181058636956,0.04539782047823118,0.02594161170184639,1.2778117023685445,16.374651360212535
E. Gollena,DLSU,17.9375,19.349464328038795,6.5,0.3044721719088475,5.5,58.373590982286636,52.5,1.149653121902874,0.55,6.194347657762292,11.27510472536507,1.2252555806562775,0.008975616871038879,0.017951233742077757,-3.5369115552596755,16.537799609635673
J. Macalalag,DLSU,19.4625,18.540257704134508,7.75,0.29901595137655285,5.749999999999999,53.43511450381679,54.166666666666664,1.061611374407583,0.20833333333333334,7.992578320131308,8.082382570919298,7.9047477891408535,0.01240848767817032,0.01240848767817032,-1.2224152412807403,15.43222722051979
R. Gonzales,DLSU,13.012499999975,21.552874958564427,7.25,0.2779334037772165,4.375,75.15822784810126,75.0,1.4785992217898833,0.6,10.246557797009759,8.634739716581258,11.82295130424203,0.018559092521564173,0.04330454921698307,-9.141693230921081,15.524768190696745
V. David,DLSU,19.129166666675,15.160222263112479,9.0,0.16522355232137703,4.45,37.07627118644068,33.33333333333333,0.7387862796833773,0.1111111111111111,11.616931677915508,4.698983600055711,18.382836940877286,0.07574826305124152,0.03366589468944068,4.974865251160836,14.453652085585885
H. Agunanne,DLSU,17.099999999975,14.642189487608587,8.75,0.1300685377870871,3.9250000000000007,40.1536312849162,38.46153846153847,0.7972270363951472,0.23076923076923078,22.09226770633509,15.769761482380634,28.275817749543297,0.014122818212675022,0.04707606070891674,-11.130412460098801,23.242636523455268
M. Rubico,DLSU,3.09166666665,34.37909016297092,2.5,0.07247448134672549,1.65,150.0,150.0,3.0,0.0,7.187780772725181,0.0,14.217588341654205,0.052075512978478,0.052075512978478,-5.130190109661383,13.307966869888219
V. Marasigan,DLSU,10.7,11.894728582428437,3.75,0.022884767824844318,1.65,45.258620689655174,42.857142857142854,0.8983957219251337,0.23809523809523808,11.422637590861891,8.40071406069516,14.378145219266715,0.015046740899463541,0.030093481798927083,-5.929285142286957,26.147460139542844
E. Alian,DLSU,4.7166666667,-0.9246963480334152,1.0,-0.027560108345911657,-0.30000000000000027,,,,,9.422850412183113,19.057450271831016,0.0,0.1365372107051212,0.13653721070512118,-13.450887142478175,17.44613324617322
E. Abadam,DLSU,15.712499999975,8.470583759752381,3.0,-0.07346308990016313,1.9,41.58964879852125,36.84210526315789,0.8237986270022882,0.3157894736842105,4.950057456031919,2.860386330933372,6.9938017432162125,0.02049325411290578,0.02049325411290578,-2.018881496342764,16.784836432155725
A. Konov,DLSU,5.655555555566667,-1.683653257226283,0.3333333333333333,-0.10554493379669455,-0.2666666666666666,0.0,0.0,0.0,0.0,7.858546168943303,10.595792587339284,5.18145901249009,0.03795680808423031,0.018978404042115156,1.8696468867096,9.69991298367822
L. Ramiro,DLSU,15.02083333335,1.995183443583315,1.5,-0.2637932312265129,0.14999999999999947,34.63476070528967,33.33333333333333,0.6896551724137931,0.13333333333333333,4.438280166430582,1.4960494943024434,7.315846428182277,0.016077682647619766,0.02679613774603294,-4.751651810276839,14.298182967764433
