,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
W. Espina,ADMU,78.5333333332,6.0,26.0,23.076923076923077,3.0,11.0,27.272727272727273,3.0,15.0,20.0,4.0,7.0,57.142857142857146,19.0,3.0,4.0,7.0,7.0,5.0,5.0,1.0,6.0,10.0,4.0,15.0,3.0,10.0
C. Koon,ADMU,197.8666666666,18.0,67.0,26.865671641791046,9.0,33.0,27.272727272727273,9.0,34.0,26.470588235294116,10.0,22.0,45.45454545454545,55.0,8.0,24.0,32.0,20.0,6.0,6.0,0.0,6.0,19.0,24.0,-20.0,3.0,8.0
K. Gamber,ADMU,51.3166666667,7.0,21.0,33.333333333333336,0.0,5.0,0.0,7.0,16.0,43.75,1.0,1.0,100.0,22.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,-26.0,2.0,8.0
S. Tuano,ADMU,204.6833333334,41.0,85.0,48.23529411764706,38.0,69.0,55.072463768115945,3.0,16.0,18.75,19.0,42.0,45.23809523809524,104.0,13.0,13.0,26.0,7.0,20.0,8.0,0.0,8.0,18.0,30.0,-33.0,3.0,10.0
K. Ong,ADMU,39.5833333333,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,5.0,2.0,8.0,10.0,0.0,1.0,0.0,2.0,2.0,7.0,2.0,-11.0,1.0,7.0
S. Quitevis,ADMU,262.8833333334,12.0,34.0,35.294117647058826,8.0,17.0,47.05882352941177,4.0,17.0,23.529411764705884,6.0,6.0,100.0,34.0,6.0,16.0,22.0,23.0,7.0,9.0,0.0,9.0,32.0,11.0,-55.0,3.0,10.0
J. Bahay,ADMU,235.9833333334,35.0,123.0,28.45528455284553,20.0,50.0,40.0,15.0,73.0,20.54794520547945,24.0,36.0,66.66666666666667,109.0,8.0,23.0,31.0,44.0,13.0,7.0,0.0,7.0,21.0,31.0,-32.0,3.0,10.0
K. Porter,ADMU,236.45000000000002,25.0,78.0,32.05128205128205,17.0,47.0,36.170212765957444,8.0,31.0,25.806451612903224,13.0,27.0,48.148148148148145,71.0,24.0,47.0,71.0,6.0,8.0,10.0,4.0,14.0,22.0,16.0,-33.0,3.0,10.0
M. Reyes,ADMU,5.0666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0
F. Edu,ADMU,22.0833333334,2.0,3.0,66.66666666666667,2.0,2.0,100.0,0.0,1.0,0.0,1.0,4.0,25.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,5.0,3.0,11.0,3.0,5.0
A. Bongo,ADMU,198.60000000000002,19.0,67.0,28.35820895522388,5.0,20.0,25.0,14.0,47.0,29.78723404255319,14.0,17.0,82.3529411764706,66.0,10.0,21.0,31.0,13.0,5.0,8.0,2.0,10.0,21.0,17.0,-17.0,3.0,10.0
A. Balogun,ADMU,112.5,8.0,27.0,29.62962962962963,8.0,23.0,34.78260869565217,0.0,4.0,0.0,17.0,28.0,60.714285714285715,33.0,17.0,21.0,38.0,2.0,9.0,3.0,4.0,7.0,18.0,25.0,-15.0,3.0,10.0
J. Lazaro,ADMU,207.08333333320002,31.0,73.0,42.465753424657535,25.0,60.0,41.666666666666664,6.0,13.0,46.15384615384615,7.0,19.0,36.8421052631579,75.0,20.0,34.0,54.0,14.0,12.0,5.0,4.0,9.0,20.0,27.0,-63.0,2.0,9.0
I. Espinosa,ADMU,171.5,13.0,43.0,30.232558139534884,9.0,26.0,34.61538461538461,4.0,17.0,23.529411764705884,15.0,22.0,68.18181818181819,45.0,5.0,27.0,32.0,19.0,9.0,10.0,3.0,13.0,16.0,34.0,-16.0,3.0,10.0
