,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
M. Erolon,AdU,150.21666666660002,22.0,59.0,37.28813559322034,13.0,31.0,41.935483870967744,9.0,28.0,32.142857142857146,2.0,3.0,66.66666666666667,55.0,1.0,11.0,12.0,23.0,13.0,9.0,0.0,9.0,11.0,13.0,4.0,3.0,9.0
J. Calisay,AdU,189.2333333333,15.0,58.0,25.862068965517242,6.0,27.0,22.22222222222222,9.0,31.0,29.032258064516128,4.0,9.0,44.44444444444444,43.0,6.0,34.0,40.0,14.0,11.0,7.0,1.0,8.0,16.0,9.0,-9.0,3.0,10.0
J. Yerro,AdU,214.99999999999997,19.0,62.0,30.64516129032258,13.0,33.0,39.39393939393939,6.0,29.0,20.689655172413794,11.0,15.0,73.33333333333333,55.0,6.0,20.0,26.0,14.0,20.0,7.0,0.0,7.0,24.0,14.0,-37.0,3.0,10.0
F. Dignadice,AdU,11.3833333334,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,-11.0,2.0,6.0
J. Barcelona,AdU,13.650000000099999,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,-12.0,1.0,4.0
E. Ramos,AdU,80.63333333330002,7.0,25.0,28.0,6.0,21.0,28.571428571428573,1.0,4.0,25.0,3.0,8.0,37.5,18.0,6.0,9.0,15.0,2.0,4.0,2.0,1.0,3.0,13.0,15.0,-41.0,3.0,9.0
M. Anabo,AdU,134.18333333340001,9.0,35.0,25.714285714285715,4.0,10.0,40.0,5.0,25.0,20.0,7.0,14.0,50.0,30.0,2.0,21.0,23.0,10.0,4.0,4.0,0.0,4.0,8.0,12.0,-17.0,3.0,10.0
R. Mantua,AdU,162.9666666666,17.0,47.0,36.170212765957444,10.0,29.0,34.48275862068966,7.0,18.0,38.888888888888886,11.0,12.0,91.66666666666667,52.0,3.0,14.0,17.0,11.0,15.0,3.0,1.0,4.0,18.0,11.0,-38.0,3.0,10.0
M. Ojarikre,AdU,234.3166666668,16.0,35.0,45.714285714285715,16.0,35.0,45.714285714285715,0.0,0.0,0.0,9.0,26.0,34.61538461538461,41.0,37.0,59.0,96.0,1.0,19.0,2.0,27.0,29.0,18.0,22.0,-23.0,3.0,10.0
C. Alexander,AdU,65.4000000001,2.0,8.0,25.0,0.0,1.0,0.0,2.0,7.0,28.571428571428573,1.0,2.0,50.0,7.0,3.0,5.0,8.0,6.0,12.0,1.0,0.0,1.0,9.0,1.0,2.0,2.0,8.0
M. Barasi Jr,AdU,92.39999999989999,2.0,13.0,15.384615384615385,2.0,13.0,15.384615384615385,0.0,0.0,0.0,7.0,9.0,77.77777777777777,11.0,4.0,12.0,16.0,4.0,4.0,1.0,1.0,2.0,13.0,10.0,-17.0,3.0,9.0
A. Ronzone,AdU,26.2666666667,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,-6.0,2.0,6.0
A. Ignacio,AdU,16.85,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,2.0,2.0,100.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,-21.0,3.0,7.0
A. Fransman,AdU,184.59999999990004,25.0,75.0,33.333333333333336,14.0,42.0,33.333333333333336,11.0,33.0,33.333333333333336,9.0,10.0,90.0,70.0,12.0,51.0,63.0,7.0,14.0,10.0,4.0,14.0,12.0,13.0,-58.0,3.0,10.0
C. Manzano,AdU,228.4,31.0,78.0,39.743589743589745,31.0,78.0,39.743589743589745,0.0,0.0,0.0,30.0,41.0,73.17073170731707,92.0,35.0,41.0,76.0,18.0,27.0,7.0,9.0,16.0,29.0,37.0,0.0,3.0,10.0
M. Montebon,AdU,218.4666666666,34.0,91.0,37.362637362637365,20.0,48.0,41.666666666666664,14.0,43.0,32.55813953488372,24.0,32.0,75.0,106.0,3.0,25.0,28.0,25.0,23.0,13.0,2.0,15.0,16.0,26.0,-41.0,3.0,10.0
