PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
M. Montebon,AdU,21.84666666666,3.4,9.1,37.3626373626,2.0,4.8,41.6666666667,1.4,4.3,32.5581395349,2.4,3.2,75.0,10.6,0.3,2.5,2.8,2.5,2.3,1.3,0.2,1.5,1.6,2.6,-4.1,3.0,10.0
C. Manzano,AdU,22.84,3.1,7.8,39.7435897436,3.1,7.8,39.7435897436,0.0,0.0,0.0,3.0,4.1,73.1707317073,9.2,3.5,4.1,7.6,1.8,2.7,0.7,0.9,1.6,2.9,3.7,0.0,3.0,10.0
A. Fransman,AdU,18.45999999999,2.5,7.5,33.3333333333,1.4,4.2,33.3333333333,1.1,3.3,33.3333333333,0.9,1.0,90.0,7.0,1.2,5.1,6.3,0.7,1.4,1.0,0.4,1.4,1.2,1.3,-5.8,3.0,10.0
M. Erolon,AdU,16.690740740733332,2.4444444444444446,6.555555555555555,37.2881355932,1.4444444444444444,3.4444444444444446,41.935483871,1.0,3.111111111111111,32.1428571429,0.2222222222222222,0.3333333333333333,66.6666666667,6.111111111111111,0.1111111111111111,1.2222222222222223,1.3333333333333333,2.5555555555555554,1.4444444444444444,1.0,0.0,1.0,1.2222222222222223,1.4444444444444444,0.4444444444444444,3.0,9.0
J. Yerro,AdU,21.5,1.9,6.2,30.6451612903,1.3,3.3,39.3939393939,0.6,2.9,20.6896551724,1.1,1.5,73.3333333333,5.5,0.6,2.0,2.6,1.4,2.0,0.7,0.0,0.7,2.4,1.4,-3.7,3.0,10.0
R. Mantua,AdU,16.29666666666,1.7,4.7,36.170212766,1.0,2.9,34.4827586207,0.7,1.8,38.8888888889,1.1,1.2,91.6666666667,5.2,0.3,1.4,1.7,1.1,1.5,0.3,0.1,0.4,1.8,1.1,-3.8,3.0,10.0
J. Calisay,AdU,18.92333333333,1.5,5.8,25.8620689655,0.6,2.7,22.2222222222,0.9,3.1,29.0322580645,0.4,0.9,44.4444444444,4.3,0.6,3.4,4.0,1.4,1.1,0.7,0.1,0.8,1.6,0.9,-0.9,3.0,10.0
M. Ojarikre,AdU,23.431666666679998,1.6,3.5,45.7142857143,1.6,3.5,45.7142857143,0.0,0.0,0.0,0.9,2.6,34.615384615400004,4.1,3.7,5.9,9.6,0.1,1.9,0.2,2.7,2.9,1.8,2.2,-2.3,3.0,10.0
M. Anabo,AdU,13.418333333339998,0.9,3.5,25.7142857143,0.4,1.0,40.0,0.5,2.5,20.0,0.7,1.4,50.0,3.0,0.2,2.1,2.3,1.0,0.4,0.4,0.0,0.4,0.8,1.2,-1.7,3.0,10.0
E. Ramos,AdU,8.959259259255555,0.7777777777777778,2.7777777777777777,28.0,0.6666666666666666,2.3333333333333335,28.5714285714,0.1111111111111111,0.4444444444444444,25.0,0.3333333333333333,0.8888888888888888,37.5,2.0,0.6666666666666666,1.0,1.6666666666666667,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.3333333333333333,1.4444444444444444,1.6666666666666667,-4.555555555555555,3.0,9.0
M. Barasi Jr,AdU,10.266666666655556,0.2222222222222222,1.4444444444444444,15.3846153846,0.2222222222222222,1.4444444444444444,15.3846153846,0.0,0.0,0.0,0.7777777777777778,1.0,77.7777777778,1.2222222222222223,0.4444444444444444,1.3333333333333333,1.7777777777777777,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.2222222222222222,1.4444444444444444,1.1111111111111112,-1.8888888888888888,3.0,9.0
C. Alexander,AdU,8.1750000000125,0.25,1.0,25.0,0.0,0.125,0.0,0.25,0.875,28.5714285714,0.125,0.25,50.0,0.875,0.375,0.625,1.0,0.75,1.5,0.125,0.0,0.125,1.125,0.125,0.25,2.0,8.0
A. Ignacio,AdU,2.4071428571428575,0.14285714285714285,0.42857142857142855,33.3333333333,0.14285714285714285,0.42857142857142855,33.3333333333,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,100.0,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,-3.0,3.0,7.0
F. Dignadice,AdU,1.8972222222333333,0.16666666666666666,0.6666666666666666,25.0,0.16666666666666666,0.3333333333333333,50.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,-1.8333333333333333,2.0,6.0
J. Barcelona,AdU,3.412500000025,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,0.25,0.75,0.0,0.0,0.0,0.25,0.25,-3.0,1.0,4.0
A. Ronzone,AdU,4.377777777783334,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.16666666666666666,-1.0,2.0,6.0
