PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,TOR,AST/TO,PPR,USG%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV
M. Konateh,FEU,66.9,10.0,34.41499999999,2.3018785787523073,24.264067828834758,1.578008448837081,0.7817671020538328,0.7962413467832482,22.6,12.490000000000004,51.16096025186935,46.590909090909086,1.023219205037387,0.3522727272727273,20.953895643884366,14.724439140893654,26.99334693763352,1.4268150956784187,5.854095010853649,3.80484025514245,0.375,-5.166931934443471,16.726274065787106,65.26829268292683,98.6954752611004,80.51589593491683,48.95788157480114,0.7930458524734634,50.91413230984766,18.68945868945869,2.7756329512515143
J. Bautista,FEU,50.7,10.0,28.851666666659998,1.1587821912930434,18.892851497312307,1.0037987525073273,0.7166070116187694,0.28719174088855803,9.6,7.640000000000002,43.67088607594937,40.136054421768705,0.8734177215189873,0.17006802721088435,6.287883861252906,1.9160383181705485,10.526383352912273,2.836568743444622,13.362051484097492,1.8910458289630816,1.5,0.0,26.678255681661266,49.463414634146346,94.59508566716369,90.4623368828646,41.69777264888114,0.5664046310467891,43.515888383264084,8.88888888888889,1.460441381134337
R. Alforque,FEU,42.6,10.0,22.27333333331,0.790657429804196,17.955085755349142,0.6212077069065629,0.3394168185538902,0.28179088835267274,9.2,5.709999999999999,45.39473684210527,41.53846153846154,0.9078947368421053,0.38461538461538464,10.38485377438292,7.032140683177648,13.635305464113522,7.1037184676069485,28.990006696916737,4.65416037532869,1.5263157894736843,0.14784326259935981,19.541479592487924,41.5609756097561,90.43281402960991,88.42707042439082,44.38418059740524,0.6127805436462013,47.62750342741874,7.464387464387465,1.4145606597339633
V. Pre,FEU,51.0,10.0,33.34333333334,0.5917111314946141,14.38694803850026,0.5942362328280653,0.33850862025699985,0.2557276125710654,11.1,6.619999999999999,47.31638418079096,41.935483870967744,0.9463276836158192,0.3225806451612903,10.065564401474003,5.250110360149332,14.734141848945637,2.618086121776731,11.373776509912016,5.727063391386598,0.45714285714285713,-7.209424541657665,24.266142292118882,49.75609756097561,85.73784286973094,92.18608778295501,40.289893615515496,0.527126962634911,46.231159449989676,8.831908831908832,1.628444416215804
M. Ona,FEU,10.4,10.0,7.290000000009999,-0.2516173405660947,3.8824025440719265,0.09170401943979495,0.04216655833727811,0.04953746110251683,1.7,0.19999999999999982,34.09090909090909,27.27272727272727,0.6818181818181819,0.45454545454545453,9.954234798534486,7.583113700456607,12.2530341202004,1.4968401621000202,5.228658147771998,0.7484200810500101,2.0,0.45170950191428244,8.924417328428635,10.146341463414634,88.84016234684668,92.84574302438465,44.97534212126739,0.5120959509976312,44.05679044710155,-0.7407407407407407,0.39867352517108046
R. Montemayor,FEU,18.333333333333332,9.0,16.92777777778889,-0.29814031296211707,6.886543951076718,0.07942422872725165,0.05016011872500615,0.0292641100022455,2.7777777777777777,1.4888888888888896,37.22924187725632,34.883720930232556,0.7445848375451264,0.06976744186046512,6.251615545244232,5.442819055763198,7.035742860754169,0.7162431756952381,2.7319491457640335,1.4324863513904762,0.5,-1.7291564261017265,14.531268309673125,17.886178861788615,82.99703096832239,96.52361175436126,36.11549412170525,0.42829143583777873,40.73044222330502,0.9686609686609686,0.53239713749995
J. Pasaol,FEU,39.3,10.0,23.81666666667,-0.1476332305662219,9.574054051344726,0.04954105054409094,-0.23228075088901026,0.2818218014331012,5.0,2.9899999999999993,35.97122302158273,30.813953488372093,0.7194244604316546,0.37209302325581395,7.045895081032226,1.547400948254633,12.376679153115079,5.956145927042419,23.47259328850779,5.039815784420509,1.1818181818181819,-1.9356811098150515,23.484569147400176,38.34146341463414,73.09163825324151,89.04466874100595,35.013396752574415,0.5987078479391411,41.956502987731845,3.4188034188034186,0.8953816888300937
A. Nakai,FEU,11.6,10.0,7.266666666650001,-0.17368357108927032,6.015816818024303,0.03317712105646913,-0.024661080462475893,0.057838201518945025,1.1,0.46000000000000013,37.05148205928237,36.95652173913043,0.7410296411856474,0.2608695652173913,7.489648453374326,3.803731574073253,11.063140852696717,0.7508232647992528,2.9309440976109222,2.2524697943977583,0.3333333333333333,-3.1721196168949986,18.057466984492816,11.317073170731707,76.36778838543007,91.96738261163897,33.89224678222645,0.532110414245271,43.89328104012825,-0.05698005698005698,0.2876240645017732
A. Bagunu,FEU,8.75,8.0,7.3041666666625,-0.1458061462216831,5.804534730648885,0.006820532695063261,-0.03937015046681251,0.04619068316187577,1.5,0.5374999999999999,39.473684210526315,26.923076923076923,0.7894736842105263,0.38461538461538464,8.53782895567631,4.730253754401257,12.229268965627071,1.867421240455848,6.652316412296355,4.6685531011396195,0.4,-6.198959205689104,15.83834368791082,8.536585365853659,73.0178339473855,92.00852979533883,30.9458679207354,0.5311728278240767,41.31737401405688,0.45584045584045585,0.307019980521012
J. Jones,FEU,8.0,4.0,1.68333333335,-0.04580360493535109,-2.8530563246253697,0.004657969852019255,0.0,0.004657969852019255,0.25,-0.125,0.0,0.0,0.0,0.0,6.735739945609293,0.0,13.266032485470156,0.0,0.0,0.0,,0.0,0.0,7.804878048780488,,92.75330248083924,,0.5142023162601524,25.0,-0.11396011396011396,0.047619047619047616
N. Duque,FEU,0.0,1.0,0.4666666667,-0.002512106136166169,0.0,-0.00026966298229059933,0.0,-0.00026966298229059933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,102.33295763895843,,0.2959187355055271,25.0,0.0,0.0
C. Anonuevo,FEU,28.4,5.0,17.72666666668,-0.1921316557545519,6.462896261003849,-0.06825537684934788,-0.24277646285192028,0.1745210860025724,4.0,1.5199999999999996,24.641577060931898,23.809523809523807,0.492831541218638,0.14285714285714285,10.74577241426703,6.237032592293672,15.116990760188912,3.6934066579707845,13.000098645724357,4.924542210627712,0.75,-4.458316723672724,15.672965192402545,27.70731707317073,53.90761855530973,83.11616374702987,23.620545495786256,0.7337957271213029,36.682937632468466,1.0256410256410255,0.45035314714436947
J. Daa,FEU,17.5,10.0,17.003333333340002,-1.0732689171258232,-1.8673388948562548,-0.4667188507439731,-0.5460772809278879,0.07935843018391472,0.3,-0.9299999999999997,25.057825751734768,24.509803921568626,0.5011565150346954,0.0392156862745098,4.001037450576402,2.167453396447082,5.778695193686527,3.2087722353616455,11.874512469198182,4.492281129506304,0.7142857142857143,-4.260645162737714,17.751643863501396,17.073170731707318,51.53272560045892,94.45139854474108,24.745996798046935,0.4755092231189374,34.70257725965793,-2.45014245014245,0.10854795509308464
