,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Bautista,FEU,288.51666666660003,51.0,147.0,34.69387755102041,35.0,86.0,40.69767441860465,16.0,61.0,26.229508196721312,20.0,25.0,80.0,138.0,6.0,34.0,40.0,15.0,10.0,14.0,0.0,14.0,15.0,28.0,11.0,3.0,10.0
M. Ona,FEU,72.90000000010001,3.0,11.0,27.272727272727273,3.0,9.0,33.333333333333336,0.0,2.0,0.0,3.0,5.0,60.0,9.0,6.0,10.0,16.0,2.0,1.0,0.0,1.0,1.0,20.0,5.0,-12.0,3.0,10.0
J. Daa,FEU,170.03333333339998,12.0,51.0,23.529411764705884,11.0,29.0,37.93103448275862,1.0,22.0,4.545454545454546,1.0,2.0,50.0,26.0,4.0,11.0,15.0,10.0,14.0,5.0,1.0,6.0,22.0,8.0,-27.0,3.0,10.0
J. Jones,FEU,6.7333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-15.0,2.0,4.0
R. Montemayor,FEU,152.3500000001,13.0,43.0,30.232558139534884,9.0,18.0,50.0,4.0,25.0,16.0,3.0,3.0,100.0,33.0,9.0,12.0,21.0,2.0,4.0,1.0,2.0,3.0,11.0,1.0,10.0,3.0,9.0
N. Duque,FEU,0.4666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
R. Alforque,FEU,222.7333333331,26.0,65.0,40.0,24.0,56.0,42.857142857142854,2.0,9.0,22.22222222222222,15.0,25.0,60.0,69.0,17.0,34.0,51.0,29.0,19.0,11.0,0.0,11.0,18.0,35.0,7.0,3.0,10.0
M. Konateh,FEU,344.1499999999,41.0,88.0,46.59090909090909,41.0,87.0,47.12643678160919,0.0,1.0,0.0,22.0,31.0,70.96774193548387,104.0,55.0,104.0,159.0,9.0,24.0,9.0,25.0,34.0,22.0,38.0,-3.0,3.0,10.0
V. Pre,FEU,333.43333333339996,48.0,124.0,38.70967741935484,40.0,95.0,42.10526315789474,8.0,29.0,27.586206896551722,30.0,40.0,75.0,134.0,19.0,55.0,74.0,16.0,35.0,2.0,6.0,8.0,21.0,30.0,-50.0,3.0,10.0
C. Anonuevo,FEU,88.6333333334,4.0,21.0,19.047619047619047,2.0,8.0,25.0,2.0,13.0,15.384615384615385,1.0,3.0,33.333333333333336,11.0,6.0,15.0,21.0,6.0,8.0,7.0,2.0,9.0,7.0,6.0,-33.0,2.0,5.0
A. Nakai,FEU,72.6666666665,7.0,23.0,30.434782608695652,4.0,8.0,50.0,3.0,15.0,20.0,2.0,6.0,33.333333333333336,19.0,3.0,9.0,12.0,1.0,3.0,2.0,0.0,2.0,10.0,5.0,-21.0,3.0,10.0
A. Bagunu,FEU,58.4333333333,3.0,13.0,23.076923076923077,2.0,9.0,22.22222222222222,1.0,4.0,25.0,5.0,5.0,100.0,12.0,3.0,8.0,11.0,2.0,5.0,1.0,1.0,2.0,6.0,7.0,-4.0,1.0,8.0
J. Pasaol,FEU,238.16666666669997,24.0,86.0,27.906976744186046,19.0,63.0,30.158730158730158,5.0,23.0,21.73913043478261,19.0,32.0,59.375,72.0,4.0,33.0,37.0,26.0,22.0,12.0,0.0,12.0,18.0,28.0,-83.0,3.0,10.0
