PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Bautista,FEU,28.851666666659998,5.302986540351292,15.285078851600783,34.693877551,3.6393044884763768,8.94229102882767,40.6976744186,1.6636820518749151,6.342787822773114,26.2295081967,2.079602564843644,2.599503206054555,80.0,14.349257697421145,0.6238807694530932,3.5353243602341946,4.159205129687288,1.559701923632733,1.039801282421822,1.4557217953905508,0.0,1.4557217953905508,1.559701923632733,2.9114435907811016,1.143781410664004,3.0,10.0
V. Pre,FEU,33.34333333334,4.318704388682531,11.15665300409654,38.7096774194,3.5989203239021093,8.54743576926751,42.1052631579,0.7197840647804219,2.6092172348290292,27.5862068966,2.699190242926582,3.5989203239021093,75.0,12.056383085072067,1.709487153853502,4.9485154453654,6.658002599218902,1.4395681295608438,3.149055283414346,0.17994601619510547,0.5398380485853164,0.7197840647804219,1.8894331700486076,2.699190242926582,-4.498650404877637,3.0,10.0
R. Alforque,FEU,22.27333333331,3.501945525295497,8.754863813238744,40.0,3.2325651002727667,7.542651900636456,42.8571428571,0.2693804250227306,1.2122119126022874,22.2222222222,2.0203531876704792,3.367255312784132,60.0,9.293624663284204,2.28973361269321,4.57946722538642,6.869200838079629,3.9060161628295935,2.5591140377159403,1.481592337625018,0.0,1.481592337625018,2.424423825204575,4.714157437897785,0.942831487579557,3.0,10.0
J. Pasaol,FEU,23.81666666667,3.0230930720779536,10.832750174946,27.9069767442,2.3932820153950467,7.9356193142046285,30.1587301587,0.6298110566829069,2.897130860741372,21.7391304348,2.3932820153950467,4.0307907627706046,59.375,9.069279216233861,0.5038488453463256,4.156752974107186,4.660601819453511,3.2750174947511166,2.7711686494047907,1.5115465360389768,0.0,1.5115465360389768,2.2673198040584652,3.5269419174242786,-10.454863540936255,3.0,10.0
M. Konateh,FEU,34.41499999999,3.5740229551078238,7.67107365974362,46.5909090909,3.5740229551078238,7.583902368155625,47.1264367816,0.0,0.08717129158799569,0.0,1.917768414935905,2.7023100392278665,70.9677419355,9.065814325151553,4.794421037339763,9.065814325151553,13.860235362491316,0.7845416242919612,2.0921109981118966,0.7845416242919612,2.1792822896998922,2.963823913991854,1.917768414935905,3.3125090803438364,-0.2615138747639871,3.0,10.0
A. Nakai,FEU,7.266666666650001,2.8899082568873617,9.495412844058475,30.4347826087,1.6513761467927783,3.3027522935855567,50.0,1.2385321100945836,6.192660550472919,20.0,0.8256880733963892,2.4770642201891673,33.3333333333,7.844036697265697,1.2385321100945836,3.715596330283751,4.9541284403783346,0.4128440366981946,1.2385321100945836,0.8256880733963892,0.0,0.8256880733963892,4.128440366981946,2.064220183490973,-8.669724770662086,3.0,10.0
R. Montemayor,FEU,16.92777777778889,2.5598949786658616,8.467344929433235,30.2325581395,1.7722349852302117,3.5444699704604234,50.0,0.7876599934356496,4.922874958972811,16.0,0.5907449950767373,0.5907449950767373,100.0,6.4981949458441095,1.7722349852302117,2.362979980306949,4.135214965537161,0.3938299967178248,0.7876599934356496,0.1969149983589124,0.3938299967178248,0.5907449950767373,2.1660649819480366,0.1969149983589124,1.9691499835891242,3.0,9.0
A. Bagunu,FEU,7.3041666666625,1.5402167712501655,6.674272675417384,23.0769230769,1.0268111808334437,4.620650313750496,22.2222222222,0.5134055904167218,2.0536223616668874,25.0,2.5670279520836092,2.5670279520836092,100.0,6.160867085000662,1.5402167712501655,4.107244723333775,5.64746149458394,1.0268111808334437,2.5670279520836092,0.5134055904167218,0.5134055904167218,1.0268111808334437,3.080433542500331,3.593839132917053,-2.0536223616668874,1.0,8.0
J. Daa,FEU,17.003333333340002,2.117231915309893,8.998235640067046,23.5294117647,1.9407959223674018,5.116643795332242,37.9310344828,0.1764359929424911,3.8815918447348037,4.5454545455,0.1764359929424911,0.3528719858849822,50.0,4.587335816504768,0.7057439717699644,1.9407959223674018,2.6465398941373666,1.764359929424911,2.4701039011948756,0.8821799647124555,0.1764359929424911,1.0586159576549465,3.8815918447348037,1.4114879435399288,-4.76377180944726,3.0,10.0
C. Anonuevo,FEU,17.72666666668,1.3538924407661872,7.107935314022484,19.0476190476,0.6769462203830936,2.7077848815323744,25.0,0.6769462203830936,4.400150432490109,15.3846153846,0.3384731101915468,1.0154193305746404,33.3333333333,3.723204212107015,2.030838661149281,5.077096652873203,7.107935314022484,2.030838661149281,2.7077848815323744,2.369311771340828,0.6769462203830936,3.0462579917239214,2.369311771340828,2.030838661149281,-11.169612636321046,2.0,5.0
M. Ona,FEU,7.290000000009999,1.2345679012328745,4.526748971187207,27.2727272727,1.2345679012328745,3.7037037036986233,33.3333333333,0.0,0.823045267488583,0.0,1.2345679012328745,2.0576131687214576,60.0,3.7037037036986233,2.469135802465749,4.115226337442915,6.584362139908664,0.823045267488583,0.4115226337442915,0.0,0.4115226337442915,0.4115226337442915,8.23045267488583,2.0576131687214576,-4.938271604931498,3.0,10.0
N. Duque,FEU,0.4666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
J. Jones,FEU,1.68333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455445544510342,4.455445544510342,0.0,0.0,0.0,0.0,0.0,8.910891089020684,0.0,-66.83168316765513,2.0,4.0
