PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Bautista,FEU,28.851666666659998,5.1,14.7,34.693877551,3.5,8.6,40.6976744186,1.6,6.1,26.2295081967,2.0,2.5,80.0,13.8,0.6,3.4,4.0,1.5,1.0,1.4,0.0,1.4,1.5,2.8,1.1,3.0,10.0
V. Pre,FEU,33.34333333334,4.8,12.4,38.7096774194,4.0,9.5,42.1052631579,0.8,2.9,27.5862068966,3.0,4.0,75.0,13.4,1.9,5.5,7.4,1.6,3.5,0.2,0.6,0.8,2.1,3.0,-5.0,3.0,10.0
M. Konateh,FEU,34.41499999999,4.1,8.8,46.5909090909,4.1,8.7,47.1264367816,0.0,0.1,0.0,2.2,3.1,70.9677419355,10.4,5.5,10.4,15.9,0.9,2.4,0.9,2.5,3.4,2.2,3.8,-0.3,3.0,10.0
J. Pasaol,FEU,23.81666666667,2.4,8.6,27.9069767442,1.9,6.3,30.1587301587,0.5,2.3,21.7391304348,1.9,3.2,59.375,7.2,0.4,3.3,3.7,2.6,2.2,1.2,0.0,1.2,1.8,2.8,-8.3,3.0,10.0
R. Alforque,FEU,22.27333333331,2.6,6.5,40.0,2.4,5.6,42.8571428571,0.2,0.9,22.2222222222,1.5,2.5,60.0,6.9,1.7,3.4,5.1,2.9,1.9,1.1,0.0,1.1,1.8,3.5,0.7,3.0,10.0
R. Montemayor,FEU,16.92777777778889,1.4444444444444444,4.777777777777778,30.2325581395,1.0,2.0,50.0,0.4444444444444444,2.7777777777777777,16.0,0.3333333333333333,0.3333333333333333,100.0,3.6666666666666665,1.0,1.3333333333333333,2.3333333333333335,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.3333333333333333,1.2222222222222223,0.1111111111111111,1.1111111111111112,3.0,9.0
J. Daa,FEU,17.003333333340002,1.2,5.1,23.5294117647,1.1,2.9,37.9310344828,0.1,2.2,4.5454545455,0.1,0.2,50.0,2.6,0.4,1.1,1.5,1.0,1.4,0.5,0.1,0.6,2.2,0.8,-2.7,3.0,10.0
C. Anonuevo,FEU,17.72666666668,0.8,4.2,19.0476190476,0.4,1.6,25.0,0.4,2.6,15.3846153846,0.2,0.6,33.3333333333,2.2,1.2,3.0,4.2,1.2,1.6,1.4,0.4,1.8,1.4,1.2,-6.6,2.0,5.0
A. Nakai,FEU,7.266666666650001,0.7,2.3,30.4347826087,0.4,0.8,50.0,0.3,1.5,20.0,0.2,0.6,33.3333333333,1.9,0.3,0.9,1.2,0.1,0.3,0.2,0.0,0.2,1.0,0.5,-2.1,3.0,10.0
A. Bagunu,FEU,7.3041666666625,0.375,1.625,23.0769230769,0.25,1.125,22.2222222222,0.125,0.5,25.0,0.625,0.625,100.0,1.5,0.375,1.0,1.375,0.25,0.625,0.125,0.125,0.25,0.75,0.875,-0.5,1.0,8.0
M. Ona,FEU,7.290000000009999,0.3,1.1,27.2727272727,0.3,0.9,33.3333333333,0.0,0.2,0.0,0.3,0.5,60.0,0.9,0.6,1.0,1.6,0.2,0.1,0.0,0.1,0.1,2.0,0.5,-1.2,3.0,10.0
N. Duque,FEU,0.4666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
J. Jones,FEU,1.68333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-3.75,2.0,4.0
