,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Padrones,NU,197.1166666666,25.0,47.0,53.191489361702125,22.0,39.0,56.41025641025641,3.0,8.0,37.5,10.0,20.0,50.0,63.0,28.0,29.0,57.0,6.0,10.0,2.0,7.0,9.0,24.0,20.0,-60.0,2.0,10.0
K. Perciano,NU,70.3833333335,12.0,26.0,46.15384615384615,12.0,26.0,46.15384615384615,0.0,0.0,0.0,1.0,2.0,50.0,25.0,3.0,8.0,11.0,1.0,7.0,1.0,0.0,1.0,14.0,1.0,-42.0,2.0,10.0
S. Enriquez,NU,183.01666666670002,22.0,58.0,37.93103448275862,8.0,23.0,34.78260869565217,14.0,35.0,40.0,13.0,16.0,81.25,71.0,5.0,12.0,17.0,25.0,9.0,8.0,1.0,9.0,9.0,16.0,8.0,2.0,10.0
N. Tulabut,NU,41.533333333399995,4.0,9.0,44.44444444444444,3.0,5.0,60.0,1.0,4.0,25.0,0.0,1.0,0.0,9.0,6.0,7.0,13.0,6.0,4.0,0.0,1.0,1.0,5.0,2.0,-6.0,1.0,7.0
M. Diassana,NU,4.0666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0
J. Figueroa,NU,303.20000000000005,40.0,105.0,38.095238095238095,34.0,79.0,43.037974683544306,6.0,26.0,23.076923076923077,22.0,32.0,68.75,108.0,15.0,56.0,71.0,27.0,30.0,9.0,2.0,11.0,28.0,41.0,-38.0,2.0,10.0
B. Parks,NU,30.050000000000004,2.0,5.0,40.0,2.0,3.0,66.66666666666667,0.0,2.0,0.0,2.0,4.0,50.0,6.0,2.0,5.0,7.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,11.0,2.0,8.0
R. Jumamoy,NU,135.0833333334,16.0,76.0,21.05263157894737,7.0,35.0,20.0,9.0,41.0,21.951219512195124,12.0,13.0,92.3076923076923,53.0,6.0,9.0,15.0,11.0,14.0,8.0,1.0,9.0,13.0,18.0,-44.0,2.0,10.0
D. Lim,NU,133.7833333333,8.0,33.0,24.242424242424242,2.0,12.0,16.666666666666668,6.0,21.0,28.571428571428573,1.0,3.0,33.333333333333336,23.0,2.0,18.0,20.0,4.0,2.0,4.0,0.0,4.0,15.0,6.0,-39.0,2.0,10.0
E. Dela Cruz,NU,35.5166666667,2.0,7.0,28.571428571428573,2.0,7.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,6.0,9.0,4.0,2.0,1.0,0.0,1.0,11.0,0.0,-15.0,2.0,10.0
J. Garcia,NU,22.9,3.0,10.0,30.0,3.0,10.0,30.0,0.0,0.0,0.0,1.0,2.0,50.0,7.0,1.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0
P. Palacielo,NU,209.0,29.0,81.0,35.80246913580247,29.0,79.0,36.70886075949367,0.0,2.0,0.0,6.0,14.0,42.857142857142854,64.0,17.0,44.0,61.0,10.0,16.0,7.0,6.0,13.0,32.0,18.0,-7.0,2.0,10.0
P. Yu,NU,132.36666666669998,3.0,33.0,9.090909090909092,2.0,11.0,18.181818181818183,1.0,22.0,4.545454545454546,7.0,11.0,63.63636363636363,14.0,8.0,15.0,23.0,9.0,4.0,1.0,0.0,1.0,9.0,7.0,-14.0,2.0,10.0
T. Garcia,NU,82.8666666667,13.0,26.0,50.0,13.0,25.0,52.0,0.0,1.0,0.0,13.0,21.0,61.904761904761905,39.0,2.0,5.0,7.0,9.0,14.0,2.0,0.0,2.0,18.0,14.0,-24.0,1.0,8.0
P. Francisco,NU,105.89999999989999,15.0,41.0,36.58536585365854,9.0,20.0,45.0,6.0,21.0,28.571428571428573,0.0,0.0,0.0,36.0,8.0,8.0,16.0,6.0,5.0,8.0,2.0,10.0,9.0,4.0,8.0,2.0,10.0
G. Santiago,NU,82.83333333339999,4.0,25.0,16.0,1.0,9.0,11.11111111111111,3.0,16.0,18.75,11.0,14.0,78.57142857142857,22.0,6.0,12.0,18.0,2.0,3.0,4.0,1.0,5.0,14.0,11.0,-15.0,2.0,10.0
I. Manansala,NU,229.29999999990002,33.0,82.0,40.24390243902439,31.0,64.0,48.4375,2.0,18.0,11.11111111111111,22.0,32.0,68.75,90.0,24.0,37.0,61.0,11.0,12.0,7.0,0.0,7.0,19.0,37.0,5.0,2.0,10.0
