PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Figueroa,NU,30.32,4.0,10.5,38.0952380952,3.4,7.9,43.0379746835,0.6,2.6,23.0769230769,2.2,3.2,68.75,10.8,1.5,5.6,7.1,2.7,3.0,0.9,0.2,1.1,2.8,4.1,-3.8,2.0,10.0
I. Manansala,NU,22.92999999999,3.3,8.2,40.243902439,3.1,6.4,48.4375,0.2,1.8,11.1111111111,2.2,3.2,68.75,9.0,2.4,3.7,6.1,1.1,1.2,0.7,0.0,0.7,1.9,3.7,0.5,2.0,10.0
S. Enriquez,NU,18.30166666667,2.2,5.8,37.9310344828,0.8,2.3,34.7826086957,1.4,3.5,40.0,1.3,1.6,81.25,7.1,0.5,1.2,1.7,2.5,0.9,0.8,0.1,0.9,0.9,1.6,0.8,2.0,10.0
P. Palacielo,NU,20.9,2.9,8.1,35.8024691358,2.9,7.9,36.7088607595,0.0,0.2,0.0,0.6,1.4,42.8571428571,6.4,1.7,4.4,6.1,1.0,1.6,0.7,0.6,1.3,3.2,1.8,-0.7,2.0,10.0
K. Padrones,NU,19.71166666666,2.5,4.7,53.1914893617,2.2,3.9,56.4102564103,0.3,0.8,37.5,1.0,2.0,50.0,6.3,2.8,2.9,5.7,0.6,1.0,0.2,0.7,0.9,2.4,2.0,-6.0,2.0,10.0
R. Jumamoy,NU,13.50833333334,1.6,7.6,21.0526315789,0.7,3.5,20.0,0.9,4.1,21.9512195122,1.2,1.3,92.3076923077,5.3,0.6,0.9,1.5,1.1,1.4,0.8,0.1,0.9,1.3,1.8,-4.4,2.0,10.0
T. Garcia,NU,10.3583333333375,1.625,3.25,50.0,1.625,3.125,52.0,0.0,0.125,0.0,1.625,2.625,61.9047619048,4.875,0.25,0.625,0.875,1.125,1.75,0.25,0.0,0.25,2.25,1.75,-3.0,1.0,8.0
P. Francisco,NU,10.58999999999,1.5,4.1,36.5853658537,0.9,2.0,45.0,0.6,2.1,28.5714285714,0.0,0.0,0.0,3.6,0.8,0.8,1.6,0.6,0.5,0.8,0.2,1.0,0.9,0.4,0.8,2.0,10.0
J. Garcia,NU,11.45,1.5,5.0,30.0,1.5,5.0,30.0,0.0,0.0,0.0,0.5,1.0,50.0,3.5,0.5,1.5,2.0,1.0,1.0,0.0,0.0,0.0,1.5,1.0,1.5,1.0,2.0
K. Perciano,NU,7.038333333350001,1.2,2.6,46.1538461538,1.2,2.6,46.1538461538,0.0,0.0,0.0,0.1,0.2,50.0,2.5,0.3,0.8,1.1,0.1,0.7,0.1,0.0,0.1,1.4,0.1,-4.2,2.0,10.0
D. Lim,NU,13.37833333333,0.8,3.3,24.2424242424,0.2,1.2,16.6666666667,0.6,2.1,28.5714285714,0.1,0.3,33.3333333333,2.3,0.2,1.8,2.0,0.4,0.2,0.4,0.0,0.4,1.5,0.6,-3.9,2.0,10.0
G. Santiago,NU,8.28333333334,0.4,2.5,16.0,0.1,0.9,11.1111111111,0.3,1.6,18.75,1.1,1.4,78.5714285714,2.2,0.6,1.2,1.8,0.2,0.3,0.4,0.1,0.5,1.4,1.1,-1.5,2.0,10.0
P. Yu,NU,13.23666666667,0.3,3.3,9.0909090909,0.2,1.1,18.1818181818,0.1,2.2,4.5454545455,0.7,1.1,63.6363636364,1.4,0.8,1.5,2.3,0.9,0.4,0.1,0.0,0.1,0.9,0.7,-1.4,2.0,10.0
N. Tulabut,NU,5.9333333333428575,0.5714285714285714,1.2857142857142858,44.4444444444,0.42857142857142855,0.7142857142857143,60.0,0.14285714285714285,0.5714285714285714,25.0,0.0,0.14285714285714285,0.0,1.2857142857142858,0.8571428571428571,1.0,1.8571428571428572,0.8571428571428571,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2857142857142857,-0.8571428571428571,1.0,7.0
B. Parks,NU,3.75625,0.25,0.625,40.0,0.25,0.375,66.6666666667,0.0,0.25,0.0,0.25,0.5,50.0,0.75,0.25,0.625,0.875,0.25,0.25,0.25,0.0,0.25,0.375,0.25,1.375,2.0,8.0
E. Dela Cruz,NU,3.5516666666699996,0.2,0.7,28.5714285714,0.2,0.7,28.5714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.6,0.9,0.4,0.2,0.1,0.0,0.1,1.1,0.0,-1.5,2.0,10.0
M. Diassana,NU,4.0666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,1.0
