,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
R. Finney,UE,1.4166666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
R. Go,UE,10.3833333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-11.0,2.0,3.0
N. Mulingtapang,UE,114.35000000000001,6.0,21.0,28.571428571428573,5.0,13.0,38.46153846153846,1.0,8.0,12.5,11.0,14.0,78.57142857142857,24.0,2.0,4.0,6.0,18.0,8.0,3.0,0.0,3.0,10.0,15.0,8.0,6.0,9.0
P. Momowei,UE,314.25000000010004,40.0,102.0,39.21568627450981,39.0,97.0,40.20618556701031,1.0,5.0,20.0,38.0,84.0,45.23809523809524,119.0,27.0,92.0,119.0,17.0,39.0,9.0,10.0,19.0,27.0,86.0,32.0,6.0,9.0
J. Jimenez,UE,14.0833333334,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,-6.0,3.0,3.0
R. Malaga III,UE,30.9000000001,2.0,5.0,40.0,2.0,3.0,66.66666666666667,0.0,2.0,0.0,2.0,2.0,100.0,6.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,2.0,14.0,2.0,-6.0,3.0,6.0
K. Spandonis,UE,16.7833333333,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,66.66666666666667,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,7.0,4.0,5.0
D. Fikes,UE,166.7166666665,16.0,45.0,35.55555555555556,10.0,20.0,50.0,6.0,25.0,24.0,10.0,17.0,58.8235294117647,48.0,10.0,20.0,30.0,12.0,17.0,6.0,3.0,9.0,25.0,14.0,-9.0,6.0,9.0
D. Robles,UE,7.1000000001,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0
E. Galang,UE,207.0000000001,22.0,62.0,35.483870967741936,7.0,17.0,41.1764705882353,15.0,45.0,33.333333333333336,6.0,8.0,75.0,65.0,3.0,23.0,26.0,12.0,7.0,9.0,5.0,14.0,21.0,13.0,6.0,5.0,8.0
H. Cruz-Dumont,UE,35.8666666666,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,2.0,5.0,1.0,0.0,1.0,10.0,1.0,-11.0,3.0,6.0
J. Abate,UE,215.9166666667,26.0,60.0,43.333333333333336,20.0,42.0,47.61904761904762,6.0,18.0,33.333333333333336,17.0,23.0,73.91304347826087,75.0,12.0,21.0,33.0,17.0,15.0,5.0,1.0,6.0,25.0,18.0,-5.0,6.0,9.0
R. Maga,UE,173.8833333333,27.0,61.0,44.26229508196721,20.0,47.0,42.5531914893617,7.0,14.0,50.0,2.0,2.0,100.0,63.0,5.0,12.0,17.0,12.0,11.0,6.0,0.0,6.0,12.0,8.0,10.0,6.0,9.0
G. Wilson,UE,114.96666666659999,18.0,38.0,47.36842105263158,15.0,29.0,51.724137931034484,3.0,9.0,33.333333333333336,14.0,18.0,77.77777777777777,53.0,4.0,7.0,11.0,12.0,11.0,5.0,0.0,5.0,4.0,13.0,10.0,6.0,9.0
J. Cruz-Dumont,UE,172.0833333333,13.0,44.0,29.545454545454547,5.0,23.0,21.73913043478261,8.0,21.0,38.095238095238095,10.0,12.0,83.33333333333333,44.0,6.0,25.0,31.0,16.0,5.0,6.0,3.0,9.0,15.0,10.0,-43.0,6.0,9.0
W. Lingolingo,UE,203.5166666667,28.0,71.0,39.436619718309856,9.0,21.0,42.857142857142854,19.0,50.0,38.0,12.0,14.0,85.71428571428571,87.0,12.0,30.0,42.0,5.0,8.0,14.0,1.0,15.0,23.0,15.0,39.0,6.0,9.0
