PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
G. Wilson,UE,12.774074074066668,4.6970136271410245,9.915917657297719,47.3684210526,3.91417802261752,7.567410843727206,51.724137931,0.7828356045235041,2.3485068135705123,33.3333333333,3.6532328211096856,4.6970136271410245,77.7777777778,13.830095679915239,1.0437808060313387,1.8266164105548428,2.8703972165861815,3.1313424180940164,2.8703972165861815,1.3047260075391736,0.0,1.3047260075391736,1.0437808060313387,3.392287619601851,2.609452015078347,6.0,9.0
W. Lingolingo,UE,22.612962962966666,4.127426091228544,10.465973302758092,39.4366197183,1.3266726721806033,3.095569568421408,42.8571428571,2.80075341904794,7.370403734336685,38.0,1.7688968962408045,2.063713045614272,85.7142857143,12.824502497745831,1.7688968962408045,4.422242240602011,6.191139136842816,0.7370403734336686,1.1792645974938698,2.063713045614272,0.14740807468673373,2.2111211203010055,3.3903857177948753,2.2111211203010055,5.748914912782615,6.0,9.0
P. Momowei,UE,34.91666666667778,3.8186157517887613,9.73747016706134,39.2156862745,3.723150357994042,9.260143198087745,40.206185567,0.09546539379471902,0.47732696897359517,20.0,3.6276849641993234,8.019093078756399,45.2380952381,11.360381861571565,2.577565632457414,8.78281622911415,11.360381861571565,1.6229116945102235,3.723150357994042,0.8591885441524713,0.9546539379471903,1.8138424820996617,2.577565632457414,8.210023866345836,3.0548926014310087,6.0,9.0
R. Maga,UE,19.320370370366664,4.658295792198727,10.52429790089342,44.262295082,3.4505894757027606,8.108885267901488,42.5531914894,1.2077063164959663,2.4154126329919325,50.0,0.34505894757027605,0.34505894757027605,100.0,10.869356848463697,0.8626473689256902,2.0703536854216567,2.9330010543473466,2.0703536854216567,1.8978242116365185,1.0351768427108283,0.0,1.0351768427108283,2.0703536854216567,1.3802357902811042,1.7252947378513803,6.0,9.0
J. Abate,UE,23.990740740744442,3.6125048243915687,8.336549594749775,43.3333333333,2.778849864916592,5.835584716324842,47.619047619,0.8336549594749774,2.5009648784249325,33.3333333333,2.362022385179103,3.1956773446540803,73.9130434783,10.420686993437217,1.6673099189499547,2.917792358162421,4.585102277112376,2.362022385179103,2.0841373986874436,0.694712466229148,0.13894249324582958,0.8336549594749774,3.4735623311457395,2.5009648784249325,-0.694712466229148,6.0,9.0
E. Galang,UE,25.8750000000125,3.188405797099909,8.985507246372471,35.4838709677,1.0144927536226982,2.4637681159408387,41.1764705882,2.173913043477211,6.521739130431633,33.3333333333,0.8695652173908843,1.1594202898545125,75.0,9.420289855067914,0.43478260869544216,3.333333333331723,3.7681159420271655,1.7391304347817687,1.0144927536226982,1.3043478260863266,0.7246376811590702,2.0289855072453964,3.043478260868095,1.8840579710135827,0.8695652173908843,5.0,8.0
D. Fikes,UE,18.524074074055555,2.8791362591251417,8.097570728789462,35.5555555556,1.7994601619532133,3.5989203239064267,50.0,1.079676097171928,4.498650404883034,24.0,1.7994601619532133,3.0590822753204625,58.8235294118,8.637408777375423,1.7994601619532133,3.5989203239064267,5.398380485859641,2.159352194343856,3.0590822753204625,1.079676097171928,0.539838048585964,1.619514145757892,4.498650404883034,2.5192442267344988,-1.619514145757892,6.0,9.0
D. Robles,UE,1.775000000025,4.2253521126165445,8.450704225233089,50.0,4.2253521126165445,8.450704225233089,50.0,0.0,0.0,0.0,0.0,0.0,0.0,8.450704225233089,4.2253521126165445,0.0,4.2253521126165445,0.0,0.0,0.0,4.2253521126165445,4.2253521126165445,0.0,0.0,8.450704225233089,3.0,4.0
J. Cruz-Dumont,UE,19.12037037036667,2.2663438256662984,7.670702179178241,29.5454545455,0.8716707021793456,4.009685230024989,21.7391304348,1.394673123486953,3.6610169491532516,38.0952380952,1.7433414043586912,2.0920096852304297,83.3333333333,7.670702179178241,1.0460048426152149,4.358353510896728,5.404358353511943,2.789346246973906,0.8716707021793456,1.0460048426152149,0.5230024213076074,1.5690072639228219,2.6150121065380367,1.7433414043586912,-7.4963680387423715,6.0,9.0
N. Mulingtapang,UE,12.705555555555556,1.5741145605596853,5.509400961958899,28.5714285714,1.3117621337997376,3.410581547879318,38.4615384615,0.2623524267599476,2.0988194140795806,12.5,2.885876694359423,3.6729339746392657,78.5714285714,6.296458242238741,0.5247048535198952,1.0494097070397903,1.5741145605596853,4.722343681679055,2.0988194140795806,0.7870572802798427,0.0,0.7870572802798427,2.623524267599475,3.935286401399213,2.0988194140795806,6.0,9.0
