,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
R. Torres,UP,118.0,8.0,33.0,24.242424242424242,8.0,22.0,36.36363636363637,0.0,11.0,0.0,9.0,10.0,90.0,25.0,4.0,9.0,13.0,17.0,8.0,5.0,0.0,5.0,14.0,9.0,1.0,7.0,8.0
C. Briones,UP,53.56666666670001,4.0,15.0,26.666666666666668,3.0,6.0,50.0,1.0,9.0,11.11111111111111,0.0,0.0,0.0,9.0,1.0,5.0,6.0,5.0,2.0,1.0,0.0,1.0,5.0,1.0,-29.0,7.0,7.0
S. Alter,UP,30.4666666667,4.0,9.0,44.44444444444444,4.0,7.0,57.142857142857146,0.0,2.0,0.0,0.0,2.0,0.0,8.0,5.0,7.0,12.0,0.0,2.0,1.0,0.0,1.0,7.0,2.0,-3.0,6.0,6.0
D. Ududo,UP,85.86666666669998,13.0,32.0,40.625,13.0,32.0,40.625,0.0,0.0,0.0,11.0,21.0,52.38095238095238,37.0,17.0,12.0,29.0,1.0,10.0,1.0,3.0,4.0,21.0,20.0,21.0,8.0,9.0
D. Walker,UP,18.366666666599997,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,-17.0,4.0,4.0
Q. Millora-Brown,UP,200.5,28.0,49.0,57.142857142857146,27.0,44.0,61.36363636363637,1.0,5.0,20.0,17.0,24.0,70.83333333333333,74.0,26.0,54.0,80.0,7.0,17.0,3.0,14.0,17.0,19.0,33.0,67.0,8.0,9.0
J. Felicilda,UP,123.6333333333,12.0,28.0,42.857142857142854,8.0,17.0,47.05882352941177,4.0,11.0,36.36363636363637,1.0,4.0,25.0,29.0,3.0,19.0,22.0,12.0,10.0,5.0,0.0,5.0,13.0,5.0,36.0,7.0,8.0
F. Lopez,UP,175.1999999998,35.0,63.0,55.55555555555556,31.0,43.0,72.09302325581395,4.0,20.0,20.0,19.0,34.0,55.88235294117647,93.0,3.0,43.0,46.0,14.0,21.0,7.0,11.0,18.0,20.0,31.0,26.0,8.0,9.0
G. Abadiano,UP,157.25,14.0,51.0,27.45098039215686,8.0,28.0,28.571428571428573,6.0,23.0,26.08695652173913,6.0,9.0,66.66666666666667,40.0,4.0,14.0,18.0,16.0,4.0,6.0,0.0,6.0,8.0,13.0,60.0,7.0,8.0
T. Fortea,UP,146.15,23.0,47.0,48.93617021276596,9.0,15.0,60.0,14.0,32.0,43.75,12.0,15.0,80.0,72.0,3.0,16.0,19.0,19.0,15.0,9.0,1.0,10.0,13.0,14.0,43.0,8.0,9.0
G. Stevens,UP,58.55,5.0,10.0,50.0,5.0,10.0,50.0,0.0,0.0,0.0,4.0,11.0,36.36363636363637,14.0,8.0,11.0,19.0,2.0,5.0,1.0,2.0,3.0,15.0,8.0,20.0,7.0,8.0
M. Belmonte,UP,115.14999999989999,19.0,39.0,48.717948717948715,15.0,30.0,50.0,4.0,9.0,44.44444444444444,4.0,4.0,100.0,46.0,5.0,22.0,27.0,11.0,11.0,1.0,2.0,3.0,14.0,8.0,66.0,8.0,9.0
H. Alarcon,UP,155.7833333333,33.0,70.0,47.142857142857146,28.0,52.0,53.84615384615385,5.0,18.0,27.77777777777778,13.0,15.0,86.66666666666667,84.0,3.0,25.0,28.0,13.0,9.0,7.0,3.0,10.0,19.0,17.0,81.0,7.0,8.0
S. Torculas,UP,52.65,6.0,20.0,30.0,5.0,14.0,35.714285714285715,1.0,6.0,16.666666666666668,1.0,2.0,50.0,14.0,5.0,9.0,14.0,3.0,5.0,3.0,1.0,4.0,5.0,4.0,-8.0,6.0,7.0
J. Cagulangan,UP,162.9166666667,36.0,76.0,47.36842105263158,25.0,46.0,54.34782608695652,11.0,30.0,36.666666666666664,10.0,12.0,83.33333333333333,93.0,9.0,17.0,26.0,35.0,17.0,9.0,0.0,9.0,8.0,21.0,78.0,7.0,7.0
J. Bayla,UP,145.1166666667,10.0,28.0,35.714285714285715,5.0,15.0,33.333333333333336,5.0,13.0,38.46153846153846,10.0,20.0,50.0,35.0,9.0,15.0,24.0,8.0,6.0,5.0,1.0,6.0,17.0,13.0,38.0,8.0,9.0
