PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Cagulangan,UP,23.273809523814286,6.629156010228822,13.994884910483071,47.3684210526,4.603580562658905,8.470588235292386,54.347826087,2.025575447569918,5.524296675190686,36.6666666667,1.841432225063562,2.2097186700762745,83.3333333333,17.125319693091125,1.6572890025572056,3.130434782608055,4.7877237851652605,6.445012787722466,3.130434782608055,1.6572890025572056,0.0,1.6572890025572056,1.4731457800508496,3.8670076726334797,14.363171355495783,7.0,7.0
H. Alarcon,UP,19.4729166666625,6.354980207554586,13.48026104632791,47.1428571429,5.392104418531164,10.01390820584359,53.8461538462,0.9628757890234221,3.4663528404843196,27.7777777778,2.5034770514608975,2.8886273670702662,86.6666666667,16.17631325559349,0.5777254734140533,4.81437894511711,5.392104418531164,2.5034770514608975,1.7331764202421598,1.348026104632791,0.5777254734140533,1.9257515780468442,3.6589279982890037,3.2737776826796354,15.598587782179436,7.0,8.0
F. Lopez,UP,19.466666666644446,5.993150684938348,10.787671232889025,55.5555555556,5.308219178088251,7.363013698638542,72.0930232558,0.684931506850097,3.4246575342504846,20.0,3.25342465753796,5.821917808225823,55.8823529412,15.924657534264755,0.5136986301375727,7.363013698638542,7.876712328776115,2.397260273975339,3.5958904109630083,1.1986301369876695,1.8835616438377663,3.082191780825436,3.4246575342504846,5.308219178088251,4.45205479452563,8.0,9.0
T. Fortea,UP,16.23888888888889,4.721176873075607,9.647622305850154,48.9361702128,1.847417037290455,3.079028395484092,60.0,2.873759835785152,6.568593910366062,43.75,2.463222716387273,3.079028395484092,80.0,14.77933629832364,0.6158056790968183,3.284296955183031,3.900102634279849,3.900102634279849,3.079028395484092,1.847417037290455,0.20526855969893945,2.0526855969893942,2.668491276086213,2.873759835785152,8.826548067054395,8.0,9.0
D. Ududo,UP,9.540740740744445,4.541925465836746,11.180124223598144,40.625,4.541925465836746,11.180124223598144,40.625,0.0,0.0,0.0,3.843167701861862,7.3369565217362815,52.380952381,12.927018633535354,5.939440993786514,4.192546583849304,10.131987577635819,0.349378881987442,3.4937888198744202,0.349378881987442,1.048136645962326,1.397515527949768,7.3369565217362815,6.9875776397488405,7.3369565217362815,8.0,9.0
M. Belmonte,UP,12.794444444433333,4.950065132440251,10.16066000869315,48.7179487179,3.9079461571896723,7.815892314379345,50.0,1.0421189752505793,2.344767694313804,44.4444444444,1.0421189752505793,1.0421189752505793,100.0,11.984368215381663,1.302648719063224,5.731654363878186,7.034303082941411,2.865827181939093,2.865827181939093,0.2605297438126448,0.5210594876252896,0.7815892314379345,3.647416413377028,2.0842379505011586,17.19496309163456,8.0,9.0
Q. Millora-Brown,UP,22.27777777777778,4.189526184538653,7.331670822942643,57.1428571429,4.039900249376559,6.583541147132169,61.3636363636,0.14962593516209477,0.7481296758104738,20.0,2.543640897755611,3.591022443890274,70.8333333333,11.072319201995013,3.890274314214464,8.079800498753118,11.970074812967582,1.0473815461346632,2.543640897755611,0.44887780548628425,2.0947630922693263,2.543640897755611,2.8428927680798,4.9376558603491265,10.024937655860349,8.0,9.0
S. Torculas,UP,7.521428571428571,3.418803418803419,11.396011396011398,30.0,2.8490028490028494,7.977207977207978,35.7142857143,0.5698005698005698,3.418803418803419,16.6666666667,0.5698005698005698,1.1396011396011396,50.0,7.977207977207978,2.8490028490028494,5.128205128205129,7.977207977207978,1.7094017094017095,2.8490028490028494,1.7094017094017095,0.5698005698005698,2.2792022792022792,2.8490028490028494,2.2792022792022792,-4.5584045584045585,6.0,7.0
S. Alter,UP,5.077777777783333,3.9387308533873755,8.862144420121595,44.4444444444,3.9387308533873755,6.892778993427907,57.1428571429,0.0,1.9693654266936877,0.0,0.0,1.9693654266936877,0.0,7.877461706774751,4.92341356673422,6.892778993427907,11.816192560162126,0.0,1.9693654266936877,0.9846827133468439,0.0,0.9846827133468439,6.892778993427907,1.9693654266936877,-2.9540481400405314,6.0,6.0
G. Abadiano,UP,19.65625,2.670906200317965,9.72972972972973,27.4509803922,1.5262321144674087,5.34181240063593,28.5714285714,1.1446740858505564,4.3879173290938,26.0869565217,1.1446740858505564,1.7170111287758347,66.6666666667,7.631160572337042,0.7631160572337043,2.670906200317965,3.4340222575516695,3.0524642289348174,0.7631160572337043,1.1446740858505564,0.0,1.1446740858505564,1.5262321144674087,2.480127186009539,11.446740858505565,7.0,8.0
