PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Cagulangan,UP,23.273809523814286,5.142857142857143,10.857142857142858,47.3684210526,3.5714285714285716,6.571428571428571,54.347826087,1.5714285714285714,4.285714285714286,36.6666666667,1.4285714285714286,1.7142857142857142,83.3333333333,13.285714285714286,1.2857142857142858,2.4285714285714284,3.7142857142857144,5.0,2.4285714285714284,1.2857142857142858,0.0,1.2857142857142858,1.1428571428571428,3.0,11.142857142857142,7.0,7.0
H. Alarcon,UP,19.4729166666625,4.125,8.75,47.1428571429,3.5,6.5,53.8461538462,0.625,2.25,27.7777777778,1.625,1.875,86.6666666667,10.5,0.375,3.125,3.5,1.625,1.125,0.875,0.375,1.25,2.375,2.125,10.125,7.0,8.0
F. Lopez,UP,19.466666666644446,3.888888888888889,7.0,55.5555555556,3.4444444444444446,4.777777777777778,72.0930232558,0.4444444444444444,2.2222222222222223,20.0,2.111111111111111,3.7777777777777777,55.8823529412,10.333333333333334,0.3333333333333333,4.777777777777778,5.111111111111111,1.5555555555555556,2.3333333333333335,0.7777777777777778,1.2222222222222223,2.0,2.2222222222222223,3.4444444444444446,2.888888888888889,8.0,9.0
Q. Millora-Brown,UP,22.27777777777778,3.111111111111111,5.444444444444445,57.1428571429,3.0,4.888888888888889,61.3636363636,0.1111111111111111,0.5555555555555556,20.0,1.8888888888888888,2.6666666666666665,70.8333333333,8.222222222222221,2.888888888888889,6.0,8.88888888888889,0.7777777777777778,1.8888888888888888,0.3333333333333333,1.5555555555555556,1.8888888888888888,2.111111111111111,3.6666666666666665,7.444444444444445,8.0,9.0
T. Fortea,UP,16.23888888888889,2.5555555555555554,5.222222222222222,48.9361702128,1.0,1.6666666666666667,60.0,1.5555555555555556,3.5555555555555554,43.75,1.3333333333333333,1.6666666666666667,80.0,8.0,0.3333333333333333,1.7777777777777777,2.111111111111111,2.111111111111111,1.6666666666666667,1.0,0.1111111111111111,1.1111111111111112,1.4444444444444444,1.5555555555555556,4.777777777777778,8.0,9.0
M. Belmonte,UP,12.794444444433333,2.111111111111111,4.333333333333333,48.7179487179,1.6666666666666667,3.3333333333333335,50.0,0.4444444444444444,1.0,44.4444444444,0.4444444444444444,0.4444444444444444,100.0,5.111111111111111,0.5555555555555556,2.4444444444444446,3.0,1.2222222222222223,1.2222222222222223,0.1111111111111111,0.2222222222222222,0.3333333333333333,1.5555555555555556,0.8888888888888888,7.333333333333333,8.0,9.0
G. Abadiano,UP,19.65625,1.75,6.375,27.4509803922,1.0,3.5,28.5714285714,0.75,2.875,26.0869565217,0.75,1.125,66.6666666667,5.0,0.5,1.75,2.25,2.0,0.5,0.75,0.0,0.75,1.0,1.625,7.5,7.0,8.0
D. Ududo,UP,9.540740740744445,1.4444444444444444,3.5555555555555554,40.625,1.4444444444444444,3.5555555555555554,40.625,0.0,0.0,0.0,1.2222222222222223,2.3333333333333335,52.380952381,4.111111111111111,1.8888888888888888,1.3333333333333333,3.2222222222222223,0.1111111111111111,1.1111111111111112,0.1111111111111111,0.3333333333333333,0.4444444444444444,2.3333333333333335,2.2222222222222223,2.3333333333333335,8.0,9.0
J. Bayla,UP,16.12407407407778,1.1111111111111112,3.111111111111111,35.7142857143,0.5555555555555556,1.6666666666666667,33.3333333333,0.5555555555555556,1.4444444444444444,38.4615384615,1.1111111111111112,2.2222222222222223,50.0,3.888888888888889,1.0,1.6666666666666667,2.6666666666666665,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.6666666666666666,1.8888888888888888,1.4444444444444444,4.222222222222222,8.0,9.0
J. Felicilda,UP,15.4541666666625,1.5,3.5,42.8571428571,1.0,2.125,47.0588235294,0.5,1.375,36.3636363636,0.125,0.5,25.0,3.625,0.375,2.375,2.75,1.5,1.25,0.625,0.0,0.625,1.625,0.625,4.5,7.0,8.0
R. Torres,UP,14.75,1.0,4.125,24.2424242424,1.0,2.75,36.3636363636,0.0,1.375,0.0,1.125,1.25,90.0,3.125,0.5,1.125,1.625,2.125,1.0,0.625,0.0,0.625,1.75,1.125,0.125,7.0,8.0
S. Torculas,UP,7.521428571428571,0.8571428571428571,2.857142857142857,30.0,0.7142857142857143,2.0,35.7142857143,0.14285714285714285,0.8571428571428571,16.6666666667,0.14285714285714285,0.2857142857142857,50.0,2.0,0.7142857142857143,1.2857142857142858,2.0,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.5714285714285714,-1.1428571428571428,6.0,7.0
G. Stevens,UP,7.31875,0.625,1.25,50.0,0.625,1.25,50.0,0.0,0.0,0.0,0.5,1.375,36.3636363636,1.75,1.0,1.375,2.375,0.25,0.625,0.125,0.25,0.375,1.875,1.0,2.5,7.0,8.0
S. Alter,UP,5.077777777783333,0.6666666666666666,1.5,44.4444444444,0.6666666666666666,1.1666666666666667,57.1428571429,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.3333333333333333,0.8333333333333334,1.1666666666666667,2.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,1.1666666666666667,0.3333333333333333,-0.5,6.0,6.0
C. Briones,UP,7.652380952385714,0.5714285714285714,2.142857142857143,26.6666666667,0.42857142857142855,0.8571428571428571,50.0,0.14285714285714285,1.2857142857142858,11.1111111111,0.0,0.0,0.0,1.2857142857142858,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,-4.142857142857143,7.0,7.0
D. Walker,UP,4.59166666665,0.25,0.75,33.3333333333,0.25,0.75,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,1.0,0.25,0.5,0.0,0.5,0.0,0.0,-4.25,4.0,4.0
