,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
A. Acido,UST,104.0166666666,9.0,38.0,23.68421052631579,2.0,9.0,22.22222222222222,7.0,29.0,24.137931034482758,4.0,4.0,100.0,29.0,5.0,12.0,17.0,7.0,5.0,3.0,1.0,4.0,6.0,5.0,-27.0,5.0,11.0
M. Tounkara,UST,284.7333333334,59.0,115.0,51.30434782608695,49.0,90.0,54.44444444444444,10.0,25.0,40.0,19.0,26.0,73.07692307692308,147.0,27.0,62.0,89.0,11.0,23.0,6.0,6.0,12.0,26.0,27.0,50.0,5.0,10.0
M. Pangilinan,UST,110.5999999999,8.0,30.0,26.666666666666668,0.0,2.0,0.0,8.0,28.0,28.571428571428573,3.0,5.0,60.0,27.0,4.0,14.0,18.0,4.0,10.0,4.0,1.0,5.0,13.0,4.0,-22.0,5.0,11.0
M. Llemit,UST,179.4,13.0,45.0,28.88888888888889,6.0,23.0,26.08695652173913,7.0,22.0,31.818181818181817,7.0,11.0,63.63636363636363,40.0,12.0,22.0,34.0,13.0,9.0,7.0,2.0,9.0,21.0,17.0,-45.0,5.0,11.0
L. Estacio,UST,96.7333333335,6.0,21.0,28.571428571428573,3.0,5.0,60.0,3.0,16.0,18.75,1.0,1.0,100.0,16.0,1.0,8.0,9.0,11.0,7.0,5.0,1.0,6.0,8.0,5.0,-16.0,5.0,10.0
K. Paranada,UST,116.0999999999,17.0,40.0,42.5,8.0,16.0,50.0,9.0,24.0,37.5,8.0,12.0,66.66666666666667,51.0,2.0,10.0,12.0,21.0,17.0,4.0,0.0,4.0,14.0,9.0,-35.0,5.0,11.0
I. Calum,UST,23.85,1.0,3.0,33.333333333333336,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,2.0,0.0,2.0,0.0,2.0,4.0,1.0,-8.0,2.0,5.0
G. Robinson,UST,92.26666666679999,7.0,22.0,31.818181818181817,6.0,14.0,42.857142857142854,1.0,8.0,12.5,6.0,11.0,54.54545454545455,21.0,5.0,12.0,17.0,8.0,4.0,3.0,0.0,3.0,13.0,9.0,-22.0,3.0,9.0
G. Danting,UST,43.0666666666,5.0,12.0,41.666666666666664,2.0,3.0,66.66666666666667,3.0,9.0,33.333333333333336,1.0,3.0,33.333333333333336,14.0,0.0,6.0,6.0,0.0,4.0,1.0,0.0,1.0,3.0,4.0,-4.0,1.0,6.0
G. Crisostomo,UST,203.0,18.0,42.0,42.857142857142854,16.0,35.0,45.714285714285715,2.0,7.0,28.571428571428573,7.0,11.0,63.63636363636363,45.0,20.0,52.0,72.0,7.0,8.0,3.0,9.0,12.0,29.0,14.0,-3.0,5.0,11.0
F. Padrigao,UST,293.98333333339997,38.0,115.0,33.04347826086956,19.0,38.0,50.0,19.0,77.0,24.675324675324674,11.0,18.0,61.111111111111114,106.0,5.0,34.0,39.0,66.0,32.0,15.0,0.0,15.0,23.0,31.0,30.0,5.0,11.0
E. Laure,UST,27.2166666667,4.0,9.0,44.44444444444444,4.0,9.0,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,-27.0,2.0,7.0
C. Manaytay,UST,231.63333333330002,32.0,69.0,46.3768115942029,25.0,52.0,48.07692307692308,7.0,17.0,41.1764705882353,22.0,29.0,75.86206896551724,93.0,14.0,26.0,40.0,15.0,20.0,11.0,3.0,14.0,26.0,26.0,-14.0,5.0,11.0
C. Lane,UST,65.91666666660001,6.0,15.0,40.0,4.0,8.0,50.0,2.0,7.0,28.571428571428573,6.0,8.0,75.0,20.0,3.0,4.0,7.0,4.0,2.0,3.0,0.0,3.0,6.0,5.0,34.0,4.0,8.0
N. Cabanero,UST,324.0333333333,63.0,153.0,41.1764705882353,54.0,106.0,50.943396226415096,9.0,47.0,19.148936170212767,34.0,56.0,60.714285714285715,169.0,20.0,39.0,59.0,21.0,12.0,11.0,1.0,12.0,22.0,52.0,34.0,5.0,11.0
Z. Mahmood,UST,27.3,1.0,4.0,25.0,1.0,3.0,33.333333333333336,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,-10.0,1.0,7.0
