PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
N. Cabanero,UST,29.457575757572727,5.7272727272727275,13.909090909090908,41.1764705882,4.909090909090909,9.636363636363637,50.9433962264,0.8181818181818182,4.2727272727272725,19.1489361702,3.090909090909091,5.090909090909091,60.7142857143,15.363636363636363,1.8181818181818181,3.5454545454545454,5.363636363636363,1.9090909090909092,1.0909090909090908,1.0,0.09090909090909091,1.0909090909090908,2.0,4.7272727272727275,3.090909090909091,5.0,11.0
M. Tounkara,UST,28.47333333334,5.9,11.5,51.3043478261,4.9,9.0,54.4444444444,1.0,2.5,40.0,1.9,2.6,73.0769230769,14.7,2.7,6.2,8.9,1.1,2.3,0.6,0.6,1.2,2.6,2.7,5.0,5.0,10.0
F. Padrigao,UST,26.725757575763637,3.4545454545454546,10.454545454545455,33.0434782609,1.7272727272727273,3.4545454545454546,50.0,1.7272727272727273,7.0,24.6753246753,1.0,1.6363636363636365,61.1111111111,9.636363636363637,0.45454545454545453,3.090909090909091,3.5454545454545454,6.0,2.909090909090909,1.3636363636363635,0.0,1.3636363636363635,2.090909090909091,2.8181818181818183,2.727272727272727,5.0,11.0
C. Manaytay,UST,21.057575757572724,2.909090909090909,6.2727272727272725,46.3768115942,2.272727272727273,4.7272727272727275,48.0769230769,0.6363636363636364,1.5454545454545454,41.1764705882,2.0,2.6363636363636362,75.8620689655,8.454545454545455,1.2727272727272727,2.3636363636363638,3.6363636363636362,1.3636363636363635,1.8181818181818181,1.0,0.2727272727272727,1.2727272727272727,2.3636363636363638,2.3636363636363638,-1.2727272727272727,5.0,11.0
K. Paranada,UST,10.554545454536365,1.5454545454545454,3.6363636363636362,42.5,0.7272727272727273,1.4545454545454546,50.0,0.8181818181818182,2.1818181818181817,37.5,0.7272727272727273,1.0909090909090908,66.6666666667,4.636363636363637,0.18181818181818182,0.9090909090909091,1.0909090909090908,1.9090909090909092,1.5454545454545454,0.36363636363636365,0.0,0.36363636363636365,1.2727272727272727,0.8181818181818182,-3.1818181818181817,5.0,11.0
G. Crisostomo,UST,18.454545454545453,1.6363636363636365,3.8181818181818183,42.8571428571,1.4545454545454546,3.1818181818181817,45.7142857143,0.18181818181818182,0.6363636363636364,28.5714285714,0.6363636363636364,1.0,63.6363636364,4.090909090909091,1.8181818181818181,4.7272727272727275,6.545454545454546,0.6363636363636364,0.7272727272727273,0.2727272727272727,0.8181818181818182,1.0909090909090908,2.6363636363636362,1.2727272727272727,-0.2727272727272727,5.0,11.0
M. Llemit,UST,16.30909090909091,1.1818181818181819,4.090909090909091,28.8888888889,0.5454545454545454,2.090909090909091,26.0869565217,0.6363636363636364,2.0,31.8181818182,0.6363636363636364,1.0,63.6363636364,3.6363636363636362,1.0909090909090908,2.0,3.090909090909091,1.1818181818181819,0.8181818181818182,0.6363636363636364,0.18181818181818182,0.8181818181818182,1.9090909090909092,1.5454545454545454,-4.090909090909091,5.0,11.0
A. Acido,UST,9.456060606054546,0.8181818181818182,3.4545454545454546,23.6842105263,0.18181818181818182,0.8181818181818182,22.2222222222,0.6363636363636364,2.6363636363636362,24.1379310345,0.36363636363636365,0.36363636363636365,100.0,2.6363636363636362,0.45454545454545453,1.0909090909090908,1.5454545454545454,0.6363636363636364,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.45454545454545453,-2.4545454545454546,5.0,11.0
C. Lane,UST,8.239583333325,0.75,1.875,40.0,0.5,1.0,50.0,0.25,0.875,28.5714285714,0.75,1.0,75.0,2.5,0.375,0.5,0.875,0.5,0.25,0.375,0.0,0.375,0.75,0.625,4.25,4.0,8.0
M. Pangilinan,UST,10.054545454536365,0.7272727272727273,2.727272727272727,26.6666666667,0.0,0.18181818181818182,0.0,0.7272727272727273,2.5454545454545454,28.5714285714,0.2727272727272727,0.45454545454545453,60.0,2.4545454545454546,0.36363636363636365,1.2727272727272727,1.6363636363636365,0.36363636363636365,0.9090909090909091,0.36363636363636365,0.09090909090909091,0.45454545454545453,1.1818181818181819,0.36363636363636365,-2.0,5.0,11.0
G. Robinson,UST,10.251851851866668,0.7777777777777778,2.4444444444444446,31.8181818182,0.6666666666666666,1.5555555555555556,42.8571428571,0.1111111111111111,0.8888888888888888,12.5,0.6666666666666666,1.2222222222222223,54.5454545455,2.3333333333333335,0.5555555555555556,1.3333333333333333,1.8888888888888888,0.8888888888888888,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,1.4444444444444444,1.0,-2.4444444444444446,3.0,9.0
G. Danting,UST,7.177777777766667,0.8333333333333334,2.0,41.6666666667,0.3333333333333333,0.5,66.6666666667,0.5,1.5,33.3333333333,0.16666666666666666,0.5,33.3333333333,2.3333333333333335,0.0,1.0,1.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.6666666666666666,-0.6666666666666666,1.0,6.0
L. Estacio,UST,9.67333333335,0.6,2.1,28.5714285714,0.3,0.5,60.0,0.3,1.6,18.75,0.1,0.1,100.0,1.6,0.1,0.8,0.9,1.1,0.7,0.5,0.1,0.6,0.8,0.5,-1.6,5.0,10.0
E. Laure,UST,3.8880952381,0.5714285714285714,1.2857142857142858,44.4444444444,0.5714285714285714,1.2857142857142858,44.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.2857142857142857,0.8571428571428571,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,1.1428571428571428,0.0,-3.857142857142857,2.0,7.0
I. Calum,UST,4.7700000000000005,0.2,0.6,33.3333333333,0.2,0.4,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.8,0.4,1.2,0.4,0.0,0.4,0.0,0.4,0.8,0.2,-1.6,2.0,5.0
Z. Mahmood,UST,3.9,0.14285714285714285,0.5714285714285714,25.0,0.14285714285714285,0.42857142857142855,33.3333333333,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.0,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,-1.4285714285714286,1.0,7.0
